Imperial	Imperial	np1	Imperial	Imperial	0
chiefly	chiefly	av-jn	chiefly	chief	0
then	then	av	then	then	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
any	any	d	any	any	0
nobler	nobler	jc	nobler	noble	0
occasion	occasion	n1	occasion	occasion	0
invited	invited	vvd	invited	invite	0
the	the	dt	the	the	0
rejoycers	rejoycers	n2	rejoicers	rejoicer	0
expressions	expressions	n2	expressions	expression	0
.	.	.	.	.	1
Which	Which	r-crq	Which	which	0
sacred	sacred	j	sacred	sacred	0
customes	customes	ng1	customs	custom	0
Emulation	Emulation	n1	Emulation	emulation	0
in	in	p-acp	in	in	0
some	some	d	some	some	0
sort	sort	n1	sort	sort	0
,	,	,	,	,	0
having	having	vhg	having	have	0
transported	transported	vvn	transported	transport	0
me	me	pno11	me	i	0
,	,	,	,	,	0
and	and	cc	and	and	0
dispell'd	dispell'd	vvn	dispelled	dispel	0
the	the	dt	the	the	0
chilness	chilness	n1	chillness	chillness	0
from	from	p-acp	from	from	0
my	my	po11	my	my	0
brest	brest	n1	breast	breast	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
the	the	dt	the	the	0
weight	weight	n1	weight	weight	0
of	of	pp-f	of	of	0
age	age	n1	age	age	0
hath	hath	vhz	hath	have	0
introduced	introduced	vvd	introduced	introduce	0
,	,	,	,	,	0
I	I	pns11	I	i	0
shall	shall	vmb	shall	shall	0
with	with	p-acp	with	with	0
flagrant	flagrant	j	flagrant	flagrant	0
confidence	confidence	n1	confidence	confidence	0
betake	betake	vvb	betake	betake	0
my	my	po11	my	my	0
self	self	n1	self	self	0
to	to	pc-acp	to	to	0
celebrate	celebrate	vvi	celebrate	celebrate	0
this	this	d	this	this	0
Day	Day	n1	Day	day	0
,	,	,	,	,	0
whereon	whereon	c-crq	whereon	whereon	0
your	your	po22	your	your	0
Majesty	Majesty	n1	Majesty	majesty	0
doth	doth	vdz	does	do	0
restore	restore	vvi	restore	restore	0
your	your	po22	your	your	0
Self	Self	n1	Self	self	0
to	to	p-acp	to	to	0
us	us	pno12	us	we	0
,	,	,	,	,	0
and	and	cc	and	and	0
us	us	pno12	us	we	0
unto	unto	p-acp	unto	unto	0
our	our	po12	our	our	0
selves	selves	n2	selves	self	0
.	.	.	.	.	1
So	So	av	So	so	0
far	far	av-j	far	far	0
indeed	indeed	av	indeed	indeed	0
am	am	vbm	am	be	0
I	I	pns11	I	i	0
from	from	p-acp	from	from	0
being	being	vbg	being	be	0
discou	discou	vvn	discou	discou	0
∣	∣	sy	∣	∣	0
raged	raged	vvd	raged	rage	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
weakness	weakness	n1	weakness	weakness	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
own	own	d	own	own	0
elocution	elocution	n1	elocution	elocution	0
,	,	,	,	,	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
even	even	av	even	even	0
ready	ready	j	ready	ready	0
to	to	pc-acp	to	to	0
esteem	esteem	vvi	esteem	esteem	0
my	my	po11	my	my	0
self	self	n1	self	self	0
thereby	thereby	av	thereby	thereby	0
the	the	dt	the	the	0
abler	abler	jc	abler	able	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
,	,	,	,	,	0
what	what	r-crq	what	what	0
need	need	n1	need	need	0
is	is	vbz	is	be	0
here	here	av	here	here	0
of	of	pp-f	of	of	0
dressings	dressings	n2-vvg	dressings	dress	0
Rhetorical	Rhetorical	j	Rhetorical	rhetorical	0
?	?	?	?	?	1
Wherefore	Wherefore	c-crq	Wherefore	wherefore	0
over	over	a-acp	over	over	0
sollicitously	sollicitously	av-j	solicitously	solicitous	0
ballance	ballance	vvb	balance	balance	0
the	the	dt	the	the	0
weight	weight	n1	weight	weight	0
of	of	pp-f	of	of	0
words	words	n2	words	word	0
?	?	?	?	?	1
Susfice	Susfice	n1	Susfice	susfice	0
it	it	pn31	it	it	0
this	this	d	this	this	0
day	day	n1	day	day	0
simply	simply	av-j	simply	simple	0
to	to	pc-acp	to	to	0
rejoyce	rejoyce	vvi	rejoice	rejoice	0
.	.	.	.	.	1
Sin	Sin	n1	since	sin	0
∣	∣	sy	∣	∣	0
cerity	cerity	n1	cerity	cerity	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
plain	plain	j	plain	plain	0
and	and	cc	and	and	0
impolite	impolite	j	impolite	impolite	0
thing	thing	n1	thing	thing	0
,	,	,	,	,	0
the	the	dt	the	the	0
less	less	av-dc	less	less	0
trick	trick	n1	trick	trick	0
∣	∣	sy	∣	∣	0
ed	ed	wd	ed	ed	0
,	,	,	,	,	0
the	the	dt	the	the	0
more	more	av-dc	more	more	0
chearful	chearful	j	cheerful	cheerful	0
;	;	;	;	;	0
and	and	cc	and	and	0
Eloquence	Eloquence	n1	Eloquence	eloquence	0
while	while	cs	while	while	0
it	it	pn31	it	it	0
adorneth	adorneth	vvz	adorneth	adorn	0
,	,	,	,	,	0
corrupteth	corrupteth	vvz	corrupteth	corrupt	0
our	our	po12	our	our	0
gladness	gladness	n1	gladness	gladness	0
.	.	.	.	.	1
Nor	Nor	ccx	Nor	nor	0
is	is	vbz	is	be	0
it	it	pn31	it	it	0
my	my	po11	my	my	0
fear	fear	n1	fear	fear	0
,	,	,	,	,	0
that	that	cst	that	that	0
this	this	d	this	this	0
shall	shall	vmb	shall	shall	0
seem	seem	vvi	seem	seem	0
a	a	dt	a	a	0
flatterers	flatterers	ng1	flatterers	flatterer	0
act	act	n1	act	act	0
,	,	,	,	,	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
were	were	vbdr	were	be	0
)	)	)	)	)	0
ambitiously	ambitiously	av-j	ambitiously	ambitious	0
prostrate	prostrate	j	prostrate	prostrate	0
at	at	p-acp	at	at	0
Fortunes	Fortunes	ng1	Fortune's	fortune	0
feet	feet	n2	feet	foot	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
in	in	p-acp	in	in	0
truth	truth	n1	truth	truth	0
were	were	vbdr	were	be	0
unworthy	unworthy	j	unworthy	unworthy	0
of	of	pp-f	of	of	0
that	that	cst	that	that	0
ingenuous	ingenuous	j	ingenuous	ingenuous	0
modesty	modesty	n1	modesty	modesty	0
,	,	,	,	,	0
derived	derived	vvn	derived	derive	0
from	from	p-acp	from	from	0
my	my	po11	my	my	0
Parents	Parents	n2	Parents	parent	0
,	,	,	,	,	0
unbefitting	unbefitting	j	unbefitting	unbefitting	0
that	that	d	that	that	0
blessed	blessed	j-vvn	blessed	bless	0
Rest	Rest	n1	Rest	rest	0
of	of	pp-f	of	of	0
mind	mind	n1	mind	mind	0
I	I	pns11	I	i	0
drew	drew	vvd	drew	draw	0
from	from	p-acp	from	from	0
liberal	liberal	j	liberal	liberal	0
Stu	Stu	np1	Stu	Stuffe	0
∣	∣	sy	∣	∣	0
dies	dies	vvz	die	die	0
.	.	.	.	.	1
Yet	Yet	av	Yet	yet	0
doth	doth	vdz	does	do	0
one	one	pi	one	one	0
solitude	solitude	n1	solitude	solitude	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
very	very	j	very	very	0
entrance	entrance	n1	entrance	entrance	0
,	,	,	,	,	0
I	I	pns11	I	i	0
confess	confess	vvb	confess	confess	0
,	,	,	,	,	0
surround	surround	vvi	surround	surround	0
me	me	pno11	me	i	0
,	,	,	,	,	0
lest	lest	cs	lest	lest	0
(	(	(	(	(	0
namely	namely	av	namely	namely	0
)	)	)	)	)	0
even	even	av	even	even	0
with	with	p-acp	with	with	0
true	true	j	true	true	0
praises	praises	n2	praises	praise	0
I	I	pns11	I	i	0
offend	offend	vvb	offend	offend	0
that	that	d	that	that	0
modesty	modesty	n1	modesty	modesty	0
,	,	,	,	,	0
wherewith	wherewith	c-crq	wherewith	wherewith	0
Your	Your	po22	Your	your	0
Majesty	Majesty	n1	Majesty	majesty	0
useth	useth	vvz	uses	use	0
so	so	av	so	so	0
sweetly	sweetly	av-j	sweetly	sweet	0
to	to	pc-acp	to	to	0
season	season	vvi	season	season	0
your	your	po22	your	your	0
other	other	n-jn	other	other	0
Ver	Ver	p-acp	For	for	0
∣	∣	sy	∣	∣	0
tues	tues	n2	tues	tue	0
:	:	:	:	:	0
for	for	c-acp	for	for	0
whereas	whereas	cs	whereas	whereas	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
most	most	av-ds	most	most	0
stout	stout	j	stout	stout	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
things	things	n2	things	thing	0
else	else	av	else	else	0
,	,	,	,	,	0
that	that	cst	that	that	0
requires	requires	vvz	requires	require	0
Validity	Validity	n1	Validity	validity	0
of	of	pp-f	of	of	0
Body	Body	n1	Body	body	0
,	,	,	,	,	0
or	or	cc	or	or	0
Constant	Constant	j	Constant	constant	0
∣	∣	sy	∣	∣	0
ness	ness	n1	ness	ness	0
of	of	pp-f	of	of	0
Mind	Mind	n1	Mind	mind	0
,	,	,	,	,	0
I	I	pns11	I	i	0
only	only	av-j	only	only	0
doubt	doubt	vvb	doubt	doubt	0
,	,	,	,	,	0
lest	lest	cs	lest	lest	0
you	you	pn22	you	you	0
should	should	vmd	should	shall	0
beat	beat	vvi	beatrice	beat	0
this	this	d	this	this	0
dayes	dayes	ng2	days	day	0
Applauses	Applauses	n2	Applauses	applause	0
and	and	cc	and	and	0
Elogies	Elogies	n2	Eulogies	eulogy	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
so	so	av	so	so	0
much	much	av-d	much	much	0
the	the	dt	the	the	0
more	more	av-dc	more	more	0
tenderly	tenderly	av-j	tenderly	tender	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
how	how	c-crq	how	how	0
much	much	av-d	much	much	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
the	the	dt	the	the	0
more	more	av-dc	more	more	0
justly	justly	av-j	justly	just	0
due	due	j-jn	due	due	0
.	.	.	.	.	1
We	We	pns12	We	we	0
read	read	vvb	read	read	0
that	that	cst	that	that	0
Germanicus	Germanicus	np1	Germanicus	Germanicus	0
(	(	(	(	(	0
and	and	cc	and	and	0
yet	yet	av	yet	yet	0
how	how	c-crq	how	how	0
great	great	j	great	great	0
a	a	dt	a	a	0
Personage	Personage	n1	Personage	personage	0
!	!	!	!	!	0
)	)	)	)	)	0
not	not	xx	not	not	0
long	long	av-j	long	long	0
before	before	a-acp	before	before	0
the	the	dt	the	the	0
battel	battel	n1	battle	battle	0
against	against	p-acp	against	against	0
the	the	dt	the	the	0
Chatti	Chatti	np1	Chatti	Chatti	0
;	;	;	;	;	0
did	did	vdd	did	do	0
under	under	p-acp	under	under	0
the	the	dt	the	the	0
disguise	disguise	n1	disguise	disguise	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
beasts	beasts	ng1	beasts	beast	0
skin	skin	n1	skin	skin	0
,	,	,	,	,	0
(	(	(	(	(	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
might	might	vmd	might	may	0
not	not	xx	not	not	0
be	be	vbi	be	be	0
observed	observed	vvn	observed	observe	0
)	)	)	)	)	0
by	by	p-acp	by	by	0
night	night	n1	night	night	0
,	,	,	,	,	0
ap	ap	fw-mi	ap	ap	0
∣	∣	sy	∣	∣	0
proach	proach	np1-n	proach	proach	0
his	his	po31	his	his	0
souldiers	souldiers	ng1	soldiers	soldier	0
tents	tents	n2	tents	tent	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
catch	catch	vvi	catch	catch	0
up	up	a-acp	up	up	0
by	by	p-acp	by	by	0
dark	dark	j	dark	dark	0
what	what	r-crq	what	what	0
they	they	pns32	they	they	0
conceived	conceived	vvd	conceived	conceive	0
of	of	pp-f	of	of	0
him	him	pno31	him	he	0
.	.	.	.	.	1
So	So	av	So	so	0
do	do	vdb	do	do	0
those	those	d	those	those	0
commonly	commonly	av-j	commonly	common	0
with	with	p-acp	with	with	0
most	most	ds	most	most	0
tenderness	tenderness	n1	tenderness	tenderness	0
admit	admit	vvb	admit	admit	0
their	their	po32	their	their	0
own	own	d	own	own	0
commendations	commendations	n2	commendations	commendation	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
most	most	av-ds	most	most	0
deserve	deserve	vvi	deserve	deserve	0
them	them	pno32	them	they	0
.	.	.	.	.	1
Whence	Whence	c-crq	Whence	whence	0
I	I	pns11	I	i	0
sufficiently	sufficiently	av-j	sufficiently	sufficient	0
foresee	foresee	vvb	foresee	foresee	0
the	the	dt	the	the	0
necessity	necessity	n1	necessity	necessity	0
of	of	pp-f	of	of	0
as	as	a-acp	as	as	0
∣	∣	sy	∣	∣	0
suring	suring	vvg	suring	sure	0
my	my	po11	my	my	0
access	access	n1	access	access	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Sacred	Sacred	j	Sacred	sacred	0
Ears	Ears	n2	Ears	ear	0
,	,	,	,	,	0
not	not	xx	not	not	0
by	by	p-acp	by	by	0
Ar	Ar	vbr	are	be	0
∣	∣	sy	∣	∣	0
guments	guments	n2	guments	gument	0
drawn	drawn	vvn	drawn	draw	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
slight	slight	j	slight	slight	0
Magazines	Magazines	n2	Magazines	magazine	0
of	of	pp-f	of	of	0
Rhe	Rhe	dt	Rhe	the	0
∣	∣	sy	∣	∣	0
torick	torick	n1	torick	torick	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
by	by	p-acp	by	by	0
others	others	n2-jn	others	other	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
soberer	soberer	jc	soberer	sober	0
sort	sort	n1	sort	sort	0
.	.	.	.	.	1
I	I	pns11	I	i	0
shall	shall	vmb	shall	shall	0
therefore	therefore	av	therefore	therefore	0
affirm	affirm	vvi	affirm	affirm	0
it	it	pn31	it	it	0
most	most	av-ds	most	most	0
equitable	equitable	j	equitable	equitable	0
,	,	,	,	,	0
that	that	cst	that	that	0
neither	neither	dx	neither	neither	0
the	the	dt	the	the	0
gallant	gallant	j-jn	gallant	gallant	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
the	the	dt	the	the	0
baser	baser	jc	baser	base	0
lives	lives	n2	lives	life	0
of	of	pp-f	of	of	0
Princes	Princes	n2	Princes	prince	0
be	be	vbb	be	be	0
pressed	pressed	vvn	pressed	press	0
down	down	a-acp	down	down	0
in	in	p-acp	in	in	0
ignoble	ignoble	j	ignoble	ignoble	0
silence	silence	n1	silence	silence	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
that	that	cst	that	that	0
both	both	d	both	both	0
good	good	j	good	good	0
and	and	cc	and	and	0
bad	bad	j	bad	bad	0
be	be	vbi	be	be	0
transmitted	transmitted	vvn	transmitted	transmit	0
equally	equally	av-jn	equally	equal	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
knowledge	knowledge	n1	knowledge	knowledge	0
of	of	pp-f	of	of	0
Po	Po	np1	Po	Po	0
∣	∣	sy	∣	∣	0
sterity	sterity	n1	sterity	sterity	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
like	like	j	like	like	0
freedome	freedome	n1	freedom	freedom	0
of	of	pp-f	of	of	0
writing	writing	n1	writing	writing	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
living	living	vvg	living	live	0
:	:	:	:	:	0
and	and	cc	and	and	0
with	with	p-acp	with	with	0
no	no	dx	no	no	0
less	less	dc	less	less	0
reverence	reverence	n1	reverence	reverence	0
of	of	pp-f	of	of	0
Truth	Truth	n1	Truth	truth	0
,	,	,	,	,	0
then	then	av	then	then	0
of	of	pp-f	of	of	0
Ma	Ma	fw-fr	Ma	ma	0
∣	∣	sy	∣	∣	0
jesty	jesty	j	jesty	jesty	0
.	.	.	.	.	1
Those	Those	d	Those	those	0
,	,	,	,	,	0
least	least	ds	least	least	0
vertuous	vertuous	j	virtuous	virtuous	0
examples	examples	n2	examples	example	0
failing	failing	vvg	failing	fail	0
,	,	,	,	,	0
Vertues	Vertues	n2	Virtues	virtue	0
themselves	themselves	px32	themselves	themselves	0
by	by	p-acp	by	by	0
degrees	degrees	n2	degrees	degree	0
decay	decay	vvi	decay	decay	0
:	:	:	:	:	0
These	These	d	These	these	0
,	,	,	,	,	0
that	that	cst	that	that	0
evading	evading	n-vvg	evading	evade	0
the	the	dt	the	the	0
power	power	n1	power	power	0
of	of	pp-f	of	of	0
Laws	Laws	n2	Laws	law	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
bridled	bridled	vvn	bridled	bridle	0
through	through	p-acp	through	through	0
some	some	d	some	some	0
awe	awe	n1	awe	awe	0
of	of	pp-f	of	of	0
Record	Record	n1	Record	record	0
.	.	.	.	.	1
This	This	np1	This	This	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
,	,	,	,	,	0
I	I	pns11	I	i	0
may	may	vmb	may	may	0
dare	dare	vvi	dare	dare	0
to	to	pc-acp	to	to	0
speak	speak	vvi	speak	speak	0
(	(	(	(	(	0
my	my	po11	my	my	0
most	most	av-ds	most	most	0
Gracious	Gracious	j	Gracious	gracious	0
Master	Master	n1	Master	master	0
)	)	)	)	)	0
and	and	cc	and	and	0
even	even	av	even	even	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
may	may	vmb	may	may	0
dare	dare	vvi	dare	dare	0
,	,	,	,	,	0
I	I	pns11	I	i	0
owe	owe	vvb	owe	owe	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
self	self	n1	self	self	0
alone	alone	av-j	alone	alone	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
now	now	av	now	now	0
have	have	vhb	have	have	0
so	so	av	so	so	0
lived	lived	vvn	lived	live	0
33	33	crd	33	33	0
years	years	n2	years	year	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
reigned	reigned	vvd	reigned	reign	0
near	near	av-j	near	near	0
to	to	p-acp	to	to	0
nine	nine	crd	nine	nine	0
,	,	,	,	,	0
That	That	cst	That	that	0
you	you	pn22	you	you	0
dread	dread	vvb	dread	dread	0
not	not	xx	not	not	0
truth	truth	n1	truth	truth	0
.	.	.	.	.	1
Most	Most	ds	Most	most	0
famous	famous	j	famous	famous	0
was	was	vbds	was	be	0
of	of	pp-f	of	of	0
old	old	j	old	old	0
,	,	,	,	,	0
and	and	cc	and	and	0
will	will	vmb	will	will	0
live	live	vvi	live	live	0
for	for	p-acp	for	for	0
ever	ever	av	ever	ever	0
,	,	,	,	,	0
that	that	cst	that	that	0
answer	answer	n1	answer	answer	0
of	of	pp-f	of	of	0
Virginius	Virginius	np1	Virginius	Virginius	0
Rufus	Rufus	np1	Rufus	Rufus	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
Cluvius	Cluvius	np1	Cluvius	Cluvius	0
:	:	:	:	:	0
You	You	pn22	You	you	0
know	know	vvb	know	know	0
,	,	,	,	,	0
Virginius	Virginius	np1	Virginius	Virginius	0
(	(	(	(	(	0
saith	saith	vvz	says	say	0
he	he	pns31	he	he	0
)	)	)	)	)	0
what	what	r-crq	what	what	0
credit	credit	n1	credit	credit	0
is	is	vbz	is	be	0
due	due	j-jn	due	due	0
to	to	p-acp	to	to	0
Hi	Hi	pno31	Him	he	0
∣	∣	sy	∣	∣	0
story	story	n1	story	story	0
:	:	:	:	:	0
wherefore	wherefore	c-crq	wherefore	wherefore	0
if	if	cs	if	if	0
you	you	pn22	you	you	0
read	read	vvb	read	read	0
any	any	d	any	any	0
thing	thing	n1	thing	thing	0
in	in	p-acp	in	in	0
my	my	po11	my	my	0
books	books	n2	books	book	0
,	,	,	,	,	0
other	other	j-jn	other	other	0
∣	∣	sy	∣	∣	0
wise	wise	n1	wise	wise	0
then	then	cs	then	than	0
you	you	pn22	you	you	0
would	would	vmd	would	will	0
have	have	vhi	have	have	0
it	it	pn31	it	it	0
,	,	,	,	,	0
pardon	pardon	vvb	pardon	pardon	0
me	me	pno11	me	i	0
.	.	.	.	.	1
To	To	p-acp	To	to	0
whom	whom	ro-crq	whom	who	0
Virginius	Virginius	np1	Virginius	Virginius	0
,	,	,	,	,	0
Thou	Thou	pns21	Thou	thou	0
canst	canst	vm2	canst	can	0
not	not	xx	not	not	0
(	(	(	(	(	0
Cluvius	Cluvius	np1	Cluvius	Cluvius	0
)	)	)	)	)	0
be	be	vbi	be	be	0
ignorant	ignorant	j	ignorant	ignorant	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
,	,	,	,	,	0
That	That	cst	That	that	0
therefore	therefore	av	therefore	therefore	0
I	I	pns11	I	i	0
did	did	vdd	did	do	0
what	what	q-crq	what	what	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
done	done	vdn	done	do	0
,	,	,	,	,	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
might	might	vmd	might	may	0
be	be	vbi	be	be	0
free	free	j	free	free	0
for	for	p-acp	for	for	0
you	you	pn22	you	you	0
to	to	pc-acp	to	to	0
write	write	vvi	write	write	0
what	what	r-crq	what	what	0
you	you	pn22	you	you	0
pleased	pleased	vvd	pleased	please	0
.	.	.	.	.	1
This	This	d	This	this	0
was	was	vbds	was	be	0
indeed	indeed	av	indeed	indeed	0
the	the	dt	the	the	0
confidence	confidence	n1	confidence	confidence	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
gallant	gallant	j-jn	gallant	gallant	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
yet	yet	av	yet	yet	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
private	private	j	private	private	0
man	man	n1	man	man	0
.	.	.	.	.	1
How	How	c-crq	How	how	0
much	much	av-d	much	much	0
more	more	av-dc	more	more	0
eminent	eminent	j	eminent	eminent	0
may	may	vmb	may	may	0
the	the	dt	the	the	0
joy	joy	n1	joy	joy	0
be	be	vbb	be	be	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
day	day	n1	day	day	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
a	a	dt	a	a	0
King	King	n1	King	king	0
returned	returned	vvd	returned	return	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
whose	whose	rg-crq	whose	who	0
Life	Life	n1	Life	life	0
and	and	cc	and	and	0
Mo	Mo	zz	Mo	mo	0
∣	∣	sy	∣	∣	0
rals	rals	n2-j	rals	rals	0
we	we	pns12	we	we	0
may	may	vmb	may	may	0
speak	speak	vvi	speak	speak	0
both	both	d	both	both	0
openly	openly	av-j	openly	open	0
and	and	cc	and	and	0
safely	safely	av-j	safely	safe	0
.	.	.	.	.	1
Yea	Yea	uh	Yea	yea	0
,	,	,	,	,	0
let	let	vvb	let	let	0
me	me	pno11	me	i	0
adde	adde	vvi	add	add	0
this	this	d	this	this	0
with	with	p-acp	with	with	0
confidence	confidence	n1	confidence	confidence	0
,	,	,	,	,	0
that	that	cst	that	that	0
if	if	cs	if	if	0
Nature	Nature	n1	Nature	nature	0
her	her	po31	her	her	0
self	self	n1	self	self	0
(	(	(	(	(	0
the	the	dt	the	the	0
first	first	ord	first	first	0
Architectress	Architectress	n1	Architectress	architectress	0
)	)	)	)	)	0
had	had	vhd	had	have	0
(	(	(	(	(	0
to	to	p-acp	to	to	0
use	use	vvi	use	use	0
an	an	dt	and	a	0
expression	expression	n1	expression	expression	0
of	of	pp-f	of	of	0
Vitruvius	Vitruvius	np1	Vitruvius	Vitruvius	0
)	)	)	)	)	0
windowed	windowed	vvn	windowed	window	0
your	your	po22	your	your	0
brest	brest	n1	breast	breast	0
:	:	:	:	:	0
if	if	cs	if	if	0
your	your	po22	your	your	0
Majesty	Majesty	n1	Majesty	majesty	0
should	should	vmd	should	shall	0
admit	admit	vvi	admit	admit	0
the	the	dt	the	the	0
eyes	eyes	n2	eyes	eye	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
men	men	n2	men	man	0
,	,	,	,	,	0
not	not	xx	not	not	0
only	only	av-j	only	only	0
within	within	p-acp	within	within	0
the	the	dt	the	the	0
privatest	privatest	js	privatest	private	0
parts	parts	n2	parts	part	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Bed-Chamber	Bed-Chamber	n1	Bed-Chamber	bedchamber	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
even	even	av	even	even	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
inwardest	inwardest	js	inwardest	inwarde	0
closets	closets	n2	closets	closet	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
heart	heart	n1	heart	heart	0
:	:	:	:	:	0
no	no	dx	no	no	0
other	other	j-jn	other	other	0
thing	thing	n1	thing	thing	0
at	at	p-acp	at	at	0
all	all	d	all	all	0
would	would	vmd	would	will	0
there	there	a-acp	there	there	0
ap	ap	fw-mi	ap	ap	0
∣	∣	sy	∣	∣	0
pear	pear	n1	pear	pear	0
,	,	,	,	,	0
save	save	p-acp	save	save	0
the	the	dt	the	the	0
splendor	splendor	n1	splendour	splendour	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Goodness	Goodness	n1	Goodness	goodness	0
,	,	,	,	,	0
and	and	cc	and	and	0
an	an	dt	and	a	0
undistemper'd	undistemper'd	j-vvn	undistempered	undistemper	0
serenity	serenity	n1	serenity	serenity	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Vertues	Vertues	n2	Virtues	virtue	0
.	.	.	.	.	1
What	What	q-crq	What	what	0
said	said	vvd	said	say	0
I	I	pns11	I	i	0
?	?	?	?	?	0
if	if	cs	if	if	0
you	you	pn22	you	you	0
would	would	vmd	would	will	0
admit	admit	vvi	admit	admit	0
?	?	?	?	?	1
As	As	p-acp	As	as	0
if	if	cs	if	if	0
those	those	d	those	those	0
whom	whom	r-crq	whom	who	0
the	the	dt	the	the	0
