A	A	dt	A	a	0
,	,	,	,	,	0
that	that	cst	that	that	0
burn	burn	vvb	burn	burn	0
and	and	cc	and	and	0
flame	flame	n1	flame	flame	0
continually	continually	av-j	continually	continual	0
.	.	.	.	.	1
The	The	dt	The	the	0
corruption	corruption	n1	corruption	corruption	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Soul	Soul	n1	Soul	soul	0
al	al	d	all	all	0
∣	∣	sy	∣	∣	0
lowed	lowed	j	lowed	lowed	0
will	will	n1	will	will	0
breed	breed	vvi	breed	breed	0
that	that	d	that	that	0
Worm	Worm	n1	Worm	worm	0
that	that	cst	that	that	0
never	never	av-x	never	never	0
dies	dies	vvz	die	die	0
.	.	.	.	.	1
I	I	pns11	I	i	0
shall	shall	vmb	shall	shall	0
Rejoyce	Rejoyce	vvb	Rejoice	rejoice	0
if	if	cs	if	if	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
Discourses	Discourses	n2	Discourses	discourse	0
do	do	vdb	do	do	0
stir	stir	vvi	stir	stir	0
up	up	a-acp	up	up	0
Sin	Sin	n1	since	sin	0
∣	∣	sy	∣	∣	0
ners	ners	zz	ners	ners	0
to	to	p-acp	to	to	0
escape	escape	vvi	escape	escape	0
the	the	dt	the	the	0
Corruption	Corruption	n1	Corruption	corruption	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
World	World	n1	World	world	0
through	through	p-acp	through	through	0
Lust	Lust	n1	Lust	lust	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
flee	flee	vvi	flee	flee	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
Wrath	Wrath	n1	Wrath	wrath	0
to	to	pc-acp	to	to	0
come	come	vvi	come	come	0
.	.	.	.	.	1
I	I	pns11	I	i	0
have	have	vhb	have	have	0
a	a	dt	a	a	0
due	due	j-jn	due	due	0
Respect	Respect	n1	Respect	respect	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
appearing	appearing	vvg	appearing	appear	0
for	for	p-acp	for	for	0
Nonconformists	Nonconformists	np1	Nonconformists	Nonconformists	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
Station	Station	n1	Station	station	0
,	,	,	,	,	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
might	might	vmd	might	may	0
not	not	xx	not	not	0
be	be	vbi	be	be	0
over-pressed	over-pressed	j	overpressed	overpressed	0
with	with	p-acp	with	with	0
Burdens	Burdens	n2	Burdens	burden	0
.	.	.	.	.	1
I	I	pns11	I	i	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
glad	glad	j	glad	glad	0
,	,	,	,	,	0
if	if	cs	if	if	0
what	what	r-crq	what	what	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
written	written	vvn	written	write	0
,	,	,	,	,	0
may	may	vmb	may	may	0
contribute	contribute	vvi	contribute	contribute	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Ad	Ad	fw-la	Ad	ad	0
∣	∣	sy	∣	∣	0
vancement	vancement	n1	vancement	vancement	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Salvation	Salvation	n1	Salvation	salvation	0
,	,	,	,	,	0
and	and	cc	and	and	0
stir	stir	vvb	stir	stir	0
you	you	pn22	you	you	0
up	up	a-acp	up	up	0
to	to	pc-acp	to	to	0
prepare	prepare	vvi	prepare	prepare	0
to	to	pc-acp	to	to	0
meet	meet	vvi	meet	meet	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
of	of	pp-f	of	of	0
Glory	Glory	n1	Glory	glory	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
stand	stand	vvi	stand	stand	0
be	be	vbb	be	be	0
∣	∣	sy	∣	∣	0
fore	fore	p-acp	before	before	0
the	the	dt	the	the	0
Judge	Judge	n1	Judge	judge	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
whole	whole	j-jn	whole	whole	0
World	World	n1	World	world	0
,	,	,	,	,	0
whose	whose	rg-crq	whose	who	0
Eye	Eye	n1	Eye	eye	0
,	,	,	,	,	0
Book	Book	n1	Book	book	0
,	,	,	,	,	0
and	and	cc	and	and	0
Balance	Balance	n1	Balance	balance	0
,	,	,	,	,	0
will	will	vmb	will	will	0
be	be	vbi	be	be	0
dreadful	dreadful	j	dreadful	dreadful	0
to	to	p-acp	to	to	0
hardened	hardened	j-vvn	hardened	harden	0
Sinners	Sinners	n2	Sinners	sinner	0
at	at	p-acp	at	at	0
last	last	ord	last	last	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
that	that	cst	that	that	0
Christ	Christ	np1	Christ	Christ	0
may	may	vmb	may	may	0
appear	appear	vvi	appear	appear	0
as	as	p-acp	as	as	0
a	a	dt	a	a	0
Redeemer	Redeemer	n1	Redeemer	redeemer	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
perfect	perfect	vvi	perfect	perfect	0
your	your	po22	your	your	0
Liberty	Liberty	n1	Liberty	liberty	0
,	,	,	,	,	0
and	and	cc	and	and	0
as	as	p-acp	as	as	0
a	a	dt	a	a	0
Bride	Bride	n1	Bride	bride	0
∣	∣	sy	∣	∣	0
groom	groom	n1	groom	groom	0
to	to	p-acp	to	to	0
marry	marry	vvi	marry	marry	0
your	your	po22	your	your	0
Soul	Soul	n1	Soul	soul	0
,	,	,	,	,	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
earnest	earnest	j	earnest	earnest	0
desire	desire	n1	desire	desire	0
of	of	pp-f	of	of	0
,	,	,	,	,	1
