BEeing	BEeing	vbg	Being	be	0
,	,	,	,	,	0
that	that	cst	that	that	0
so	so	av	so	so	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
some	some	d	some	some	0
sort	sort	n1	sort	sort	0
of	of	pp-f	of	of	0
satisfaction	satisfaction	n1	satisfaction	satisfaction	0
might	might	vmd	might	may	0
bee	bee	vbi	be	be	0
giuen	giuen	vvn	given	give	0
,	,	,	,	,	0
and	and	cc	and	and	0
by	by	p-acp	by	by	0
you	you	pn22	you	you	0
who	who	r-crq	who	who	0
are	are	vbr	are	be	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
eminent	eminent	j	eminent	eminent	0
and	and	cc	and	and	0
conspicuous	conspicuous	j	conspicuous	conspicuous	0
and	and	cc	and	and	0
large	large	j	large	large	0
Church	Church	n1	Church	church	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
Land	Land	n1	Land	land	0
,	,	,	,	,	0
others	others	n2-jn	others	other	0
who	who	r-crq	who	who	0
from	from	p-acp	from	from	0
all	all	d	all	all	0
partes	partes	n2	parts	part	0
resort	resort	vvi	resort	resort	0
vnto	vnto	p-acp	unto	unto	0
you	you	pn22	you	you	0
,	,	,	,	,	0
might	might	vmd	might	may	0
receiue	receiue	vvi	receive	receive	0
the	the	dt	the	the	0
satisfaction	satisfaction	n1	satisfaction	satisfaction	0
in	in	p-acp	in	in	0
like	like	j	like	like	0
manner	manner	n1	manner	manner	0
.	.	.	.	.	1
Thirdly	Thirdly	ord	Thirdly	third	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
your	your	po22	your	your	0
Pastours	Pastours	ng1	Pastors	pastors	0
beene	beene	vbi	been	be	0
the	the	dt	the	the	0
speciall	speciall	j	special	special	0
Instruments	Instruments	n2	Instruments	instrument	0
of	of	pp-f	of	of	0
GOD	GOD	np1	GOD	God	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
satisfaction	satisfaction	n1	satisfaction	satisfaction	0
in	in	p-acp	in	in	0
such	such	d	such	such	0
scruples	scruples	n2	scruples	scruple	0
and	and	cc	and	and	0
doubtes	doubtes	n2	doubts	doubt	0
of	of	pp-f	of	of	0
Religion	Religion	n1	Religion	religion	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
and	and	cc	and	and	0
propounded	propounded	vvn	propounded	propound	0
to	to	p-acp	to	to	0
them	them	pno32	them	they	0
,	,	,	,	,	0
before	before	c-acp	before	before	0
I	I	pns11	I	i	0
could	could	vmd	could	can	0
renounce	renounce	vvi	renounce	renounce	0
the	the	dt	the	the	0
groundlesse	groundlesse	j	groundless	groundless	0
Religion	Religion	n1	Religion	religion	0
of	of	pp-f	of	of	0
poperie	poperie	n1	popery	popery	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
men	men	n2	men	man	0
who	who	r-crq	who	who	0
mette	mette	vvd	met	meet	0
mee	mee	pno11	me	i	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
I	I	pns11	I	i	0
was	was	vbds	was	be	0
seeking	seeking	vvg	seeking	seek	0
home	home	av-an	home	home	0
as	as	p-acp	as	as	0
a	a	dt	a	a	0
forlorne	forlorne	j-vvn	forlorn	forlese	0
Sonne	Sonne	n1	Son	son	0
to	to	p-acp	to	to	0
my	my	po11	my	my	0
Fathers	Fathers	ng1	Father's	father	0
house	house	n1	house	house	0
againe	againe	av	again	again	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
iustly	iustly	av-j	justly	just	0
I	I	pns11	I	i	0
may	may	vmb	may	may	0
now	now	av	now	now	0
call	call	vvi	call	call	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
.	.	.	.	.	1
You	You	pn22	You	you	0
I	I	pns11	I	i	0
say	say	vvb	say	say	0
,	,	,	,	,	0
right	right	av-jn	right	right	0
reverend	reverend	j-jn	reverend	reverend	0
,	,	,	,	,	0
were	were	vbdr	were	be	0
the	the	dt	the	the	0
men	men	n2	men	man	0
that	that	cst	that	that	0
mette	mette	vvd	met	meet	0
mee	mee	pno11	me	i	0
,	,	,	,	,	0
and	and	cc	and	and	0
mecklie	mecklie	av-j	mecklie	mecklie	0
poynted	poynted	j-vvn	pointed	point	0
out	out	av	out	out	0
the	the	dt	the	the	0
way	way	n1	way	way	0
,	,	,	,	,	0
and	and	cc	and	and	0
went	went	vvd	went	go	0
along	along	a-acp	along	along	0
with	with	p-acp	with	with	0
mee	mee	pno11	me	i	0
,	,	,	,	,	0
convoying	convoying	vvg	convoying	convoy	0
mee	mee	pno11	me	i	0
on	on	p-acp	on	on	0
my	my	po11	my	my	0
way	way	n1	way	way	0
:	:	:	:	:	0
in	in	p-acp	in	in	0
whose	whose	rg-crq	whose	who	0
dealing	dealing	vvg	dealing	deal	0
with	with	p-acp	with	with	0
mee	mee	pno11	me	i	0
I	I	pns11	I	i	0
might	might	vmd	might	may	0
haue	haue	vhi	have	have	0
seene	seene	vvn	seen	see	0
my	my	po11	my	my	0
heauenly	heauenly	j	heavenly	heavenly	0
Fathers	Fathers	ng1	Father's	father	0
readinesse	readinesse	n1	readiness	readiness	0
to	to	pc-acp	to	to	0
meete	meete	vvi	meet	meet	0
and	and	cc	and	and	0
embrace	embrace	vvb	embrace	embrace	0
mee	mee	pno11	me	i	0
▪	▪	▪	▪	▪	0
sometimes	sometimes	av	sometime	sometime	0
I	I	pns11	I	i	0
grant	grant	vvb	grant	grant	0
,	,	,	,	,	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
spoken	spoken	vvn	spoken	speak	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
others	others	n2-jn	others	other	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Romish	Romish	jp	Romish	romish	0
Religion	Religion	n1	Religion	religion	0
doe	doe	n1	doe	doe	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
faithfull	faithfull	j	faithful	faithful	0
and	and	cc	and	and	0
learned	learned	j	learned	learned	0
Ministers	Ministers	n2	Ministers	minister	0
,	,	,	,	,	0
only	only	av-j	only	only	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
Religions	Religions	ng1	Religions	religion	0
cause	cause	n1	cause	cause	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
then	then	av	then	then	0
I	I	pns11	I	i	0
knew	knew	vvd	knew	know	0
you	you	pn22	you	you	0
not	not	xx	not	not	0
.	.	.	.	.	1
Now	Now	av	Now	now	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
found	found	vvn	found	find	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
haue	haue	vhb	have	have	0
both	both	d	both	both	0
learning	learning	n1	learning	learning	0
and	and	cc	and	and	0
Loue	Loue	n1	Love	love	0
,	,	,	,	,	0
and	and	cc	and	and	0
if	if	cs	if	if	0
you	you	pn22	you	you	0
and	and	cc	and	and	0
others	others	ng2-jn	others	other	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Calling	Calling	vvg	Calling	call	0
were	were	vbdr	were	be	0
knowne	knowne	vvn	known	know	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
know	know	vvb	know	know	0
you	you	pn22	you	you	0
,	,	,	,	,	0
I	I	pns11	I	i	0
put	put	vvb	put	put	0
no	no	dx	no	no	0
question	question	n1	question	question	0
many	many	d	many	many	0
should	should	vmd	should	shall	0
bee	bee	vbi	be	be	0
nothing	nothing	pix	nothing	nothing	0
ashamed	ashamed	j	ashamed	ashamed	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
glad	glad	j	glad	glad	0
at	at	p-acp	at	at	0
their	their	po32	their	their	0
heart	heart	n1	heart	heart	0
to	to	pc-acp	to	to	0
forsake	forsake	vvi	forsake	forsake	0
the	the	dt	the	the	0
puddle	puddle	n1	puddle	puddle	0
of	of	pp-f	of	of	0
humane	humane	j	humane	humane	0
Doctrine	Doctrine	n1	Doctrine	doctrine	0
,	,	,	,	,	0
and	and	cc	and	and	0
take	take	vvi	take	take	0
them	them	pno32	them	they	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
fountaine	fountaine	n1	fountain	fountain	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
diuine	diuine	j-jn	divine	divine	0
Scriptures	Scriptures	n2	Scriptures	scripture	0
.	.	.	.	.	1
Now	Now	av	Now	now	0
then	then	av	then	then	0
seeing	seeing	vvg	seeing	see	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
Pastours	Pastours	ng1	Pastors	pastors	0
to	to	a-acp	to	to	0
me	me	pno11	me	i	0
,	,	,	,	,	0
and	and	cc	and	and	0
I	I	pns11	I	i	0
by	by	p-acp	by	by	0
this	this	d	this	this	0
meanes	meanes	n2	means	mean	0
as	as	c-acp	as	as	0
one	one	pi	one	one	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Flock	Flock	vvb	Flock	flock	0
,	,	,	,	,	0
if	if	cs	if	if	0
so	so	av	so	so	0
it	it	pn31	it	it	0
may	may	vmb	may	may	0
please	please	vvi	please	please	0
your	your	po22	your	your	0
flocke	flocke	n1	flock	flock	0
and	and	cc	and	and	0
you	you	pn22	you	you	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
account	account	vvi	account	account	0
of	of	pp-f	of	of	0
such	such	d	such	such	0
a	a	dt	a	a	0
wandering	wandering	j-vvg	wandering	wander	0
sheepe	sheepe	n1	sheep	sheep	0
as	as	c-acp	as	as	0
I	I	pns11	I	i	0
haue	haue	vhb	have	have	0
beene	beene	vbn	been	be	0
.	.	.	.	.	1
To	To	p-acp	To	to	0
whom	whom	ro-crq	whom	who	0
could	could	vmd	could	can	0
I	I	pns11	I	i	0
offer	offer	vvi	offer	offer	0
this	this	d	this	this	0
testimonie	testimonie	n1	testimony	testimony	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
Repen	Repen	np1	Repen	Repen	0
∣	∣	sy	∣	∣	0
tance	tance	n1	tance	tance	0
rather	rather	av-c	rather	rather	0
than	than	cs	than	than	0
to	to	pc-acp	to	to	0
you	you	pn22	you	you	0
Honourable	Honourable	j	Honourable	honourable	0
and	and	cc	and	and	0
Christian	Christian	np1	Christian	Christian	0
People	People	n1	People	people	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
their	their	po32	their	their	0
vigilant	vigilant	j	vigilant	vigilant	0
and	and	cc	and	and	0
reuerend	reuerend	j-jn	reverend	reverend	0
Pastours	Pastours	ng1	Pastors	pastors	0
,	,	,	,	,	0
whose	whose	rg-crq	whose	who	0
Chri	Chri	np1	Chri	Chri	0
∣	∣	sy	∣	∣	0
stian	stian	n1	stian	stian	0
disposition	disposition	n1	disposition	disposition	0
makes	makes	vvz	makes	make	0
mee	mee	pno11	me	i	0
to	to	pc-acp	to	to	0
hope	hope	vvi	hope	hope	0
that	that	cst	that	that	0
this	this	d	this	this	0
my	my	po11	my	my	0
offer	offer	n1	offer	offer	0
shall	shall	vmb	shall	shall	0
bee	bee	vbi	be	be	0
accepted	accepted	vvn	accepted	accept	0
in	in	p-acp	in	in	0
good	good	j	good	good	0
part	part	n1	part	part	0
.	.	.	.	.	1
