MAny	MAny	av-d	MAny	many	0
that	that	d	that	that	0
we	we	pns12	we	we	0
stumble	stumble	vvb	stumble	stumble	0
not	not	xx	not	not	0
,	,	,	,	,	0
&	&	cc	&	and	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
harmony	harmony	n1	harmony	harmony	0
of	of	pp-f	of	of	0
both	both	d	both	both	0
affect	affect	vvb	affect	affect	0
vs	vs	pno12	us	we	0
that	that	d	that	that	0
we	we	pns12	we	we	0
slacke	slacke	vvb	slack	slack	0
not	not	xx	not	not	0
.	.	.	.	.	1
Thus	Thus	av	Thus	thus	0
if	if	cs	if	if	0
he	he	pns31	he	he	0
doe	doe	vdb	do	do	0
,	,	,	,	,	0
not	not	xx	not	not	0
only	only	av-j	only	only	0
teaching	teaching	vvg	teaching	teach	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
Christ	Christ	np1	Christ	Christ	0
taught	taught	vvd	taught	teach	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
also	also	av	also	also	0
Mat.	Mat.	np1	Mat.	Mat	0
.	.	.	.	.	1
19.	19.	crd	19.	19	0
living	living	n1	living	living	0
as	as	c-acp	as	as	0
he	he	pns31	he	he	0
teacheth	teacheth	vvz	teaches	teach	0
others	others	n2-jn	others	other	0
to	to	pc-acp	to	to	0
liue	liue	vvi	live	live	0
,	,	,	,	,	0
hee	hee	pns31	he	he	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
called	called	vvn	called	call	0
great	great	j	great	great	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
kingdome	kingdome	n1	kingdom	kingdom	0
of	of	pp-f	of	of	0
heavē	heavē	n1	heaven	heaven	0
:	:	:	:	:	0
he	he	pns31	he	he	0
shal	shal	vmb	shall	shall	0
be	be	vbi	be	be	0
eckoned	eckoned	vvn	eckoned	eckon	0
amōg	amōg	p-acp	among	among	0
the	the	dt	the	the	0
hers	hers	png31	hers	she	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Christā	Christā	njp	Christan	christan	0
common	common	j	common	common	0
wealth	wealth	n1	wealth	wealth	0
.	.	.	.	.	1
By	By	p-acp	By	by	0
hid	hid	j-vvn	hid	hide	0
doctrine	doctrine	n1	doctrine	doctrine	0
hee	hee	pns31	he	he	0
shall	shall	vmb	shall	shall	0
win	win	vvi	win	win	0
assent	assent	n1	assent	assent	0
and	and	cc	and	and	0
obedience	obedience	n1	obedience	obedience	0
:	:	:	:	:	0
by	by	p-acp	by	by	0
his	his	po31	his	his	0
example	example	n1	example	example	0
,	,	,	,	,	0
imitation	imitation	n1	imitation	imitation	0
and	and	cc	and	and	0
loue	loue	n1	love	love	0
:	:	:	:	:	0
and	and	cc	and	and	0
by	by	p-acp	by	by	0
both	both	d	both	both	0
admirati	admirati	fw-la	admirati	admirati	0
∣	∣	sy	∣	∣	0
on	on	a-acp	on	on	0
and	and	cc	and	and	0
reverence	reverence	n1	reverence	reverence	0
.	.	.	.	.	1
That	That	cst	That	that	0
the	the	dt	the	the	0
author	author	n1	author	author	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
learned	learned	j	learned	learned	0
and	and	cc	and	and	0
godly	godly	j	godly	godly	0
sermon	sermon	n1	sermon	sermon	0
is	is	vbz	is	be	0
one	one	pi	one	one	0
of	of	pp-f	of	of	0
these	these	d	these	these	0
,	,	,	,	,	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
no	no	dx	no	no	0
need	need	n1	need	need	0
to	to	pc-acp	to	to	0
prooue	prooue	vvi	prove	prove	0
:	:	:	:	:	0
nor	nor	ccx	nor	nor	0
how	how	uh-crq	how	how	0
his	his	po31	his	his	0
life	life	n1	life	life	0
and	and	cc	and	and	0
practise	practise	n1	practice	practice	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
if	if	cs	if	if	0
it	it	pn31	it	it	0
had	had	vhd	had	have	0
beene	beene	vbn	been	be	0
the	the	dt	the	the	0
other	other	j-jn	other	other	0
twin	twin	n1	twin	twin	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
same	same	d	same	same	0
mother	mother	n1	mother	mother	0
,	,	,	,	,	0
or	or	cc	or	or	0
the	the	dt	the	the	0
other	other	j-jn	other	other	0
hand	hand	n1	hand	hand	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
same	same	d	same	same	0
body	body	n1	body	body	0
,	,	,	,	,	0
hath	hath	vhz	hath	have	0
alway	alway	av	always	always	0
been	been	vbn	been	be	0
answe	answe	vvn	answer	answer	0
∣	∣	sy	∣	∣	0
rable	rable	n1	rabble	rabble	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
doctrine	doctrine	n1	doctrine	doctrine	0
of	of	pp-f	of	of	0
humility	humility	n1	humility	humility	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
sermon	sermon	n1	sermon	sermon	0
is	is	vbz	is	be	0
handled	handled	vvn	handled	handle	0
at	at	p-acp	at	at	0
large	large	j	large	large	0
,	,	,	,	,	0
although	although	cs	although	although	0
I	I	pns11	I	i	0
envy	envy	vvb	envy	envy	0
not	not	xx	not	not	0
that	that	d	that	that	0
there	there	a-acp	there	there	0
are	are	vbr	are	be	0
very	very	av	very	very	0
many	many	d	many	many	0
argu	argu	n1	argu	argu	0
∣	∣	sy	∣	∣	0
ments	ments	n2	ments	ment	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
this	this	d	this	this	0
point	point	n1	point	point	0
plaine	plaine	av-j	plain	plain	0
:	:	:	:	:	0
yet	yet	av	yet	yet	0
I	I	pns11	I	i	0
could	could	vmd	could	can	0
wish	wish	vvi	wish	wish	0
there	there	a-acp	there	there	0
were	were	vbdr	were	be	0
not	not	xx	not	not	0
so	so	av	so	so	0
many	many	av-d	many	many	0
by	by	p-acp	by	by	0
one	one	pi	one	one	0
:	:	:	:	:	0
and	and	cc	and	and	0
that	that	cst	that	that	0
,	,	,	,	,	0
seeing	seeing	vvg	seeing	see	0
his	his	po31	his	his	0
humble	humble	j	humble	humble	0
and	and	cc	and	and	0
modest	modest	j	modest	modest	0
minde	minde	n1	mind	mind	0
may	may	vmb	may	may	0
&	&	cc	&	and	0
doth	doth	vdz	does	do	0
otherwise	otherwise	av	otherwise	otherwise	0
so	so	av	so	so	0
easily	easily	av-j	easily	easy	0
appear	appear	vvi	appear	appear	0
,	,	,	,	,	0
he	he	pns31	he	he	0
would	would	vmd	would	will	0
spare	spare	vvi	spare	spare	0
to	to	pc-acp	to	to	0
shew	shew	vvi	show	show	0
it	it	pn31	it	it	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
his	his	po31	his	his	0
vnwillingnes	vnwillingnes	n1	unwillingness	unwillingness	0
to	to	pc-acp	to	to	0
publish	publish	vvi	publish	publish	0
his	his	po31	his	his	0
learned	learned	j	learned	learned	0
labours	labours	n2	labours	labour	0
:	:	:	:	:	0
by	by	p-acp	by	by	0
which	which	r-crq	which	which	0
at	at	p-acp	at	at	0
this	this	d	this	this	0
time	time	n1	time	time	0
others	others	n2-jn	others	other	0
are	are	vbr	are	be	0
forced	forced	vvn	forced	force	0
to	to	pc-acp	to	to	0
publish	publish	vvi	publish	publish	0
some	some	d	some	some	0
parte	parte	n1	part	part	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
for	for	p-acp	for	for	0
him	him	pno31	him	he	0
without	without	p-acp	without	without	0
making	making	vvg	making	make	0
him	him	pno31	him	he	0
acquainted	acquainted	vvn	acquainted	acquaint	0
therwith	therwith	av	therewith	therewith	0
.	.	.	.	.	1
As	As	p-acp	As	as	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
rest	rest	n1	rest	rest	0
seeing	seeing	vvg	seeing	see	0
it	it	pn31	it	it	0
must	must	vmb	must	must	0
be	be	vbi	be	be	0
so	so	av	so	so	0
,	,	,	,	,	0
we	we	pns12	we	we	0
are	are	vbr	are	be	0
content	content	j	content	content	0
▪	▪	▪	▪	▪	0
even	even	av	even	even	0
vntill	vntill	c-acp	until	until	0
God	God	np1	God	God	0
shall	shall	vmb	shall	shall	0
put	put	vvi	put	put	0
it	it	pn31	it	it	0
into	into	p-acp	into	into	0
his	his	po31	his	his	0
minde	minde	n1	mind	mind	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
stay	stay	vvi	stay	stay	0
for	for	p-acp	for	for	0
that	that	d	that	that	0
for	for	p-acp	for	for	0
which	which	r-crq	which	which	0
hee	hee	pns31	he	he	0
is	is	vbz	is	be	0
in	in	p-acp	in	in	0
debt	debt	n1	debt	debt	0
to	to	p-acp	to	to	0
vs	vs	pno12	us	we	0
(	(	(	(	(	0
,	,	,	,	,	0
Rom.	Rom.	np1	Rom.	Rom.	1
1.	1.	crd	1.	1.	0
14.	14.	crd	14.	14.	0
every	every	d	every	every	0
man	man	n1	man	man	0
that	that	cst	that	that	0
hath	hath	vhz	hath	have	0
received	received	vvn	received	receive	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
debter	debter	n1	debtor	debtor	0
to	to	p-acp	to	to	0
Christ	Christ	np1	Christ	Christ	0
in	in	p-acp	in	in	0
GOD	GOD	np1	GOD	God	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
the1	the1	n1	the1	the1	0
,	,	,	,	,	0
Cor.	Cor.	np1	Cor.	Cor.	1
3.	3.	crd	3.	3.	0
22.	22.	crd	22.	22.	0
23.	23.	crd	23.	23.	0
church	church	n1	church	church	0
in	in	p-acp	in	in	0
Christ	Christ	np1	Christ	Christ	0
)	)	)	)	)	0
but	but	cc-acp	but	but	0
for	for	p-acp	for	for	0
this	this	d	this	this	0
little	little	j	little	little	0
streame	streame	n1	stream	stream	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
great	great	j	great	great	0
river	river	n1	river	river	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
godly	godly	j	godly	godly	0
learning	learning	n1	learning	learning	0
we	we	pns12	we	we	0
hope	hope	vvb	hope	hope	0
at	at	p-acp	at	at	0
length	length	n1	length	length	0
wee	wee	pns12	we	we	0
shall	shall	vmb	shall	shall	0
not	not	xx	not	not	0
only	only	av-j	only	only	0
obtaine	obtaine	vvi	obtain	obtain	0
pardon	pardon	n1	pardon	pardon	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
publishing	publishing	vvg	publishing	publish	0
it	it	pn31	it	it	0
vvithout	vvithout	p-acp	without	without	0
giving	giving	vvg	giving	give	0
him	him	pno31	him	he	0
notice	notice	n1	notice	notice	0
(	(	(	(	(	0
for	for	c-acp	for	for	0
so	so	av	so	so	0
heretofore	heretofore	av	heretofore	heretofore	0
it	it	pn31	it	it	0
hath	hath	vhz	hath	have	0
hap	hap	vvn	hap	happen	0
∣	∣	sy	∣	∣	0
pened	pened	vvn	penned	pen	0
to	to	p-acp	to	to	0
many	many	d	many	many	0
learned	learned	j	learned	learned	0
men	men	n2	men	man	0
,	,	,	,	,	0
and	and	cc	and	and	0
as	as	p-acp	as	as	0
Possi	Possi	np1	Possi	Possi	0
∣	∣	sy	∣	∣	0
ds	ds	av	ds	ds	0
reporteth	reporteth	vvz	reporteth	report	0
,	,	,	,	,	0
even	even	av	even	even	0
to	to	p-acp	to	to	0
Augustine	Augustine	np1	Augustine	Augustine	0
in	in	p-acp	in	in	0
manie	manie	d	many	many	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
workes	workes	n2	works	work	0
)	)	)	)	)	0
but	but	cc-acp	but	but	0
also	also	av	also	also	0
deserue	deserue	vvi	deserve	deserve	0
thankes	thankes	n2	thanks	thanks	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
whole	whole	j-jn	whole	whole	0
Church	Church	n1	Church	church	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
whē	whē	c-crq	when	when	0
the	the	dt	the	the	0
auctor	auctor	fw-la	auctor	auctor	0
by	by	p-acp	by	by	0
this	this	d	this	this	0
experience	experience	n1	experience	experience	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
lesser	lesser	jc	lesser	lesser	0
,	,	,	,	,	0
gessing	gessing	vvg	guessing	guess	0
howe	howe	c-crq	how	how	0
his	his	po31	his	his	0
greater	greater	jc	greater	great	0
paines	paines	n2	pains	pain	0
will	will	vmb	will	will	0
bee	bee	vbi	be	be	0
accepted	accepted	vvn	accepted	accept	0
,	,	,	,	,	0
shall	shall	vmb	shall	shall	0
beginne	beginne	vvi	begin	begin	0
to	to	pc-acp	to	to	0
dare	dare	vvi	dare	dare	0
to	to	pc-acp	to	to	0
bring	bring	vvi	bring	bring	0
foorth	foorth	av	forth	forth	0
the	the	dt	the	the	0
ampler	ampler	jc	ampler	ample	0
&	&	cc	&	and	0
more	more	av-dc	more	more	0
laborious	laborious	j	laborious	laborious	0
fruits	fruits	n2	fruits	fruit	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
lear	lear	j	lear	lear	0
∣	∣	sy	∣	∣	0
ned	ned	zz	ned	ned	0
and	and	cc	and	and	0
religious	religious	j	religious	religious	0
study	study	n1	study	study	0
.	.	.	.	.	1
As	As	p-acp	As	as	0
surely	surely	av-j	surely	sure	0
meete	meete	vvi	meet	meet	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
so	so	av	so	so	0
well	well	av	well	well	0
armed	armed	vvn	armed	arm	0
and	and	cc	and	and	0
provided	provided	vvn	provided	provide	0
should	should	vmd	should	shall	0
not	not	xx	not	not	0
feare	feare	vvi	fear	fear	0
to	to	pc-acp	to	to	0
venter	venter	vvi	venture	venture	0
:	:	:	:	:	0
and	and	cc	and	and	0
that	that	cst	that	that	0
the	the	dt	the	the	0
lesse	lesse	av-dc	less	less	0
the	the	dt	the	the	0
certainety	certainety	n1	certainty	certainty	0
and	and	cc	and	and	0
the	the	dt	the	the	0
shorter	shorter	jc	shorter	short	0
the	the	dt	the	the	0
continuance	continuance	n1	continuance	continuance	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
life	life	n1	life	life	0
of	of	pp-f	of	of	0
man	man	n1	man	man	0
is	is	vbz	is	be	0
,	,	,	,	,	0
the	the	dt	the	the	0
sooner	sooner	av-c	sooner	soon	0
the	the	dt	the	the	0
common	common	j	common	common	0
wealth	wealth	n1	wealth	wealth	0
&	&	cc	&	and	0
Church	Church	n1	Church	church	0
should	should	vmd	should	shall	0
enioy	enioy	vvi	enjoy	enjoy	0
the	the	dt	the	the	0
life	life	n1	life	life	0
&	&	cc	&	and	0
vertue	vertue	n1	virtue	virtue	0
of	of	pp-f	of	of	0
him	him	pno31	him	he	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
excellent	excellent	j	excellent	excellent	0
.	.	.	.	.	1
If	If	cs	If	if	0
vvee	vvee	pns12	we	we	0
will	will	vmb	will	will	0
vse	vse	vvi	use	use	0
none	none	pix	none	none	0
but	but	cc-acp	but	but	0
Pompey	Pompey	np1	Pompey	Pompey	0
(	(	(	(	(	0
saith	saith	vvz	says	say	0
Catulus	Catulus	np1	Catulus	Catulus	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
deliberation	deliberation	n1	deliberation	deliberation	0
of	of	pp-f	of	of	0
heaping	heaping	vvg	heaping	heap	0
imployments	imployments	n2	employments	employment	0
vpon	vpon	p-acp	upon	upon	0
none	none	pix	none	none	0
but	but	cc-acp	but	but	0
Pompey	Pompey	np1	Pompey	Pompey	0
)	)	)	)	)	0
what	what	r-crq	what	what	0
if	if	cs	if	if	0
wee	wee	pns12	we	we	0
loose	loose	vvb	lose	loose	0
Pompey	Pompey	np1	Pompey	Pompey	0
,	,	,	,	,	0
whom	whom	ro-crq	whom	who	0
thē	thē	pno32	them	they	0
shall	shall	vmb	shall	shall	0
we	we	pns12	we	we	0
vse	vse	vvi	use	use	0
?	?	?	?	?	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
good	good	j	good	good	0
(	(	(	(	(	0
saide	saide	vvd	said	say	0
the	the	dt	the	the	0
Lacede	Lacede	vvn	Lacede	lacede	0
∣	∣	sy	∣	∣	0
monian	monian	n1	monian	monian	0
captaine	captaine	n1	captain	captain	0
that	that	cst	that	that	0
overthrew	overthrew	vvd	overthrew	overthrow	0
the	the	dt	the	the	0
Em	Em	np1	Em	Em	0
∣	∣	sy	∣	∣	0
pire	pire	fw-la	pire	pire	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Athenians	Athenians	njp2	Athenians	athenian	0
)	)	)	)	)	0
that	that	cst	that	that	0
Grece	Grece	np1	Grece	Grece	0
shoulde	shoulde	vmd	should	shall	0
haue	haue	vhi	have	have	0
but	but	cc-acp	but	but	0
one	one	crd	one	one	0
ie	ie	zz	ie	ie	0
:	:	:	:	:	0
and	and	cc	and	and	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
proverbe	proverbe	n1	proverb	proverb	0
tells	tells	vvz	tells	tell	0
vs	vs	pno12	us	we	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
good	good	j	good	good	0
to	to	pc-acp	to	to	0
haue	haue	vhi	have	have	0
more	more	dc	more	more	0
ankers	ankers	n2	anchors	anchor	0
thē	thē	pno32	them	they	0
oue	oue	vvb	oue	owe	0
for	for	p-acp	for	for	0
our	our	po12	our	our	0
ship	ship	n1	ship	ship	0
to	to	pc-acp	to	to	0
rest	rest	vvi	rest	rest	0
vpō	vpō	p-acp	upon	upon	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
though	though	cs	though	though	0
it	it	pn31	it	it	0
be	be	vbb	be	be	0
good	good	j	good	good	0
if	if	cs	if	if	0
there	there	pc-acp	there	there	0
be	be	vbb	be	be	0
any	any	d	any	any	0
(	(	(	(	(	0
though	though	cs	though	though	0
but	but	cc-acp	but	but	0
one	one	pi	one	one	0
)	)	)	)	)	0
to	to	pc-acp	to	to	0
say	say	vvi	say	say	0
with	with	p-acp	with	with	0
than	than	cs	than	than	0
Amazon	Amazon	np1	Amazon	Amazon	0
in	in	p-acp	in	in	0
Virgl	Virgl	np1	Virgl	Virgl	0
.	.	.	.	.	1
Audeo	Audeo	fw-la	Audeo	audeo	0
,	,	,	,	,	0
et	et	fw-la	et	et	0
Aenead	Aenead	np1	Aenead	Aenead	0
promitto	promitto	fw-la	promitto	promitto	0
occurrere	occurrere	fw-la	occurrere	occurrere	0
tur	tur	fw-la	tur	tur	0
∣	∣	sy	∣	∣	0
mae	mae	fw-la	mae	mae	0
,	,	,	,	,	0
Solus	Solus	fw-la	Solus	solus	0
:	:	:	:	:	0
et	et	fw-la	et	et	0
intest	intest	vv2	intest	int	0
as	as	p-acp	as	as	0
aces	aces	n2	ances	ace	0
contra	contra	fw-la	contra	contra	0
obvius	obvius	fw-la	obvius	obvius	0
re	re	fw-mi	re	re	0
.	.	.	.	.	0
yet	yet	av	yet	yet	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
better	better	jc	better	better	0
,	,	,	,	,	0
if	if	cs	if	if	0
there	there	pc-acp	there	there	0
bee	bee	vbi	be	be	0
another	another	j-jn	another	another	0
to	to	p-acp	to	to	0
re	re	zz	re	re	0
∣	∣	sy	∣	∣	0
plie	plie	vvb	ply	ply	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
same	same	d	same	same	0
place	place	n1	place	place	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Poet	Poet	n1	Poet	poet	0
.	.	.	.	.	1
Mecum	Mecum	fw-la	Mecum	mecum	0
partire	partire	n1	partire	partire	0
laborem	laborem	fw-la	laborem	laborem	0
Better	Better	j	Better	better	0
I	I	pns11	I	i	0
meane	meane	vvb	mean	mean	0
,	,	,	,	,	0
not	not	xx	not	not	0
only	only	av-j	only	only	0
because	because	c-acp	because	because	0
if	if	cs	if	if	0
one	one	pi	one	one	0
die	die	vvb	die	die	0
the	the	dt	the	the	0
other	other	n-jn	other	other	0
may	may	vmb	may	may	0
succeed	succeed	vvi	succeed	succeed	0
&	&	cc	&	and	0
fish	fish	vvi	fish	fish	0
that	that	d	that	that	0
which	which	r-crq	which	which	0
he	he	pns31	he	he	0
leaues	leaues	vvz	leaves	leave	0
vuperfect	vuperfect	j	vuperfect	vuperfect	0
:	:	:	:	:	0
as	as	c-acp	as	as	0
Homer	Homer	np1	Homer	Homer	0
notes	notes	vvz	notes	note	0
it	it	pn31	it	it	0
as	as	p-acp	as	as	0
a	a	dt	a	a	0
comforte	comforte	n1	comfort	comfort	0
to	to	p-acp	to	to	0
Protefilou	Protefilou	np1	Protefilou	Protefilou	0
his	his	po31	his	his	0
souldiers	souldiers	n2	soldiers	soldier	0
,	,	,	,	,	0
after	after	p-acp	after	after	0
the	the	dt	the	the	0
death	death	n1	death	death	0
af	af	pp-f	of	of	0
their	their	po32	their	their	0
captaine	captaine	n1	captain	captain	0
,	,	,	,	,	0
:	:	:	:	:	0
But	But	cc-acp	But	but	0
also	also	av	also	also	0
that	that	d	that	that	0
,	,	,	,	,	0
if	if	cs	if	if	0
the	the	dt	the	the	0
one	one	crd	one	one	0
fall	fall	n1	fallen	fall	0
,	,	,	,	,	0
the	the	dt	the	the	0
other	other	n-jn	other	other	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
4.	4.	crd	4.	4.	0
of	of	pp-f	of	of	0
Ecclesiastes	Ecclesiastes	n2	Ecclesiastes	ecclesiaste	0
might	might	vmd	might	may	0
help	help	vvi	help	help	0
him	him	pno31	him	he	0
vp	vp	a-acp	up	up	0
:	:	:	:	:	0
that	that	cst	that	that	0
as	as	c-acp	as	as	0
Euryalus	Euryalus	np1	Euryalus	Euryalus	0
.	.	.	.	.	1
&	&	cc	&	and	0
Nisus	Nisus	np1	Nisus	Nisus	0
,	,	,	,	,	0
they	they	pns32	they	they	0
might	might	vmd	might	may	0
be	be	vbi	be	be	0
mutual	mutual	j	mutual	mutual	0
aide	aide	n1	aid	aid	0
and	and	cc	and	and	0
comfort	comfort	vvi	comfort	comfort	0
each	each	d	each	each	0
to	to	p-acp	to	to	0
other	other	n-jn	other	other	0
:	:	:	:	:	0
His	His	png31	His	he	0
amor	amor	fw-la	amor	amor	0
vnus	vnus	fw-la	vnus	vnus	0
era	era	fw-la	era	era	0
,	,	,	,	,	0
parr	parr	n1	parr	part	0
{	{	{	{	{	0
que	que	fw-fr	que	que	0
}	}	}	}	}	0
in	in	p-acp	in	in	0
bella	bella	fw-la	bella	bella	0
ruebāt	ruebāt	n1	ruebant	ruebant	0
:	:	:	:	:	0
That	That	cst	That	that	0
as	as	p-acp	as	as	0
the	the	dt	the	the	0
tvvo	tvvo	crd	tvvo	two	0
brethren	brethren	n2	brothers	brethren	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
same	same	d	same	same	0
