OH	OH	uh	O	oh	0
thought	thought	n1	thought	thought	0
thereof	thereof	av	thereof	thereof	0
cause	cause	vvi	cause	cause	0
your	your	po22	your	your	0
wavering	wavering	vvg	wavering	waver	0
to	to	pc-acp	to	to	0
cease	cease	vvi	cease	cease	0
,	,	,	,	,	0
and	and	cc	and	and	0
be	be	vbi	be	be	0
firme	firme	j	firm	firm	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
resolutions	resolutions	n2	resolutions	resolution	0
.	.	.	.	.	1
Will	Will	n1	Will	will	0
you	you	pn22	you	you	0
not	not	xx	not	not	0
yet	yet	av	yet	yet	0
resolve	resolve	vvi	resolve	resolve	0
?	?	?	?	?	1
If	If	cs	If	if	0
you	you	pn22	you	you	0
meane	meane	vvb	mean	mean	0
to	to	pc-acp	to	to	0
chuse	chuse	vvi	choose	choose	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
shall	shall	vmb	shall	shall	0
it	it	pn31	it	it	0
be	be	vbi	be	be	0
,	,	,	,	,	0
why	why	q-crq	why	why	0
not	not	xx	not	not	0
now	now	av	now	now	0
,	,	,	,	,	0
let	let	vvb	let	let	0
your	your	po22	your	your	0
learning	learning	n1	learning	learning	0
discover	discover	vvi	discover	discover	0
to	to	p-acp	to	to	0
you	you	pn22	you	you	0
the	the	dt	the	the	0
dangers	dangers	n2	dangers	danger	0
of	of	pp-f	of	of	0
delay	delay	n1	delay	delay	0
,	,	,	,	,	0
it	it	pn31	it	it	0
makes	makes	vvz	makes	make	0
you	you	pn22	you	you	0
miserable	miserable	j	miserable	miserable	0
in	in	p-acp	in	in	0
what	what	r-crq	what	what	0
you	you	pn22	you	you	0
want	want	vvb	want	want	0
,	,	,	,	,	0
&	&	cc	&	and	0
doubtfull	doubtfull	j	doubtful	doubtful	0
in	in	p-acp	in	in	0
what	what	r-crq	what	what	0
you	you	pn22	you	you	0
have	have	vhb	have	have	0
,	,	,	,	,	0
and	and	cc	and	and	0
trouble	trouble	vvb	trouble	trouble	0
us	us	pno12	us	we	0
to	to	pc-acp	to	to	0
know	know	vvi	know	know	0
what	what	r-crq	what	what	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
:	:	:	:	:	0
why	why	q-crq	why	why	0
will	will	vmb	will	will	0
you	you	pn22	you	you	0
looke	looke	vvi	look	look	0
to	to	p-acp	to	to	0
heaven	heaven	n1	heaven	heaven	0
with	with	p-acp	with	with	0
one	one	crd	one	one	0
eye	eye	n1	eye	eye	0
,	,	,	,	,	0
and	and	cc	and	and	0
on	on	p-acp	on	on	0
Romes	Romes	npg1	Romes	Rome	0
pompe	pompe	n1	pomp	pomp	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
other	other	j-jn	other	other	0
?	?	?	?	?	1
God	God	np1	God	God	0
cals	cals	vvz	calls	call	0
you	you	pn22	you	you	0
if	if	cs	if	if	0
you	you	pn22	you	you	0
will	will	vmb	will	will	0
stād	stād	vvi	stand	stand	0
for	for	p-acp	for	for	0
him	him	pno31	him	he	0
:	:	:	:	:	0
then	then	av	then	then	0
take	take	vvb	take	take	0
a	a	dt	a	a	0
resolution	resolution	n1	resolution	resolution	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
cast	cast	vvi	cast	cast	0
this	this	d	this	this	0
Iezebell	Iezebell	n1	Jezebell	jezebell	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Windowes	Windowes	n2	Windows	window	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
Churches	Churches	n2	Churches	church	0
,	,	,	,	,	0
this	this	d	this	this	0
Whore	Whore	n1	Whore	whore	0
of	of	pp-f	of	of	0
Rome	Rome	n1	Room	room	0
that	that	cst	that	that	0
hath	hath	vhz	hath	have	0
thus	thus	av	thus	thus	0
advāced	advāced	vvn	advanced	advance	0
her	her	po31	her	her	0
pride	pride	n1	pride	pride	0
,	,	,	,	,	0
&	&	cc	&	and	0
bewitched	bewitched	vvn	bewitched	bewitch	0
you	you	pn22	you	you	0
,	,	,	,	,	0
is	is	vbz	is	be	0
their	their	po32	their	their	0
not	not	xx	not	not	0
just	just	j	just	just	0
cause	cause	n1	cause	cause	0
for	for	p-acp	for	for	0
what	what	r-crq	what	what	0
I	I	pns11	I	i	0
cry	cry	vvb	cry	cry	0
?	?	?	?	?	1
Yet	Yet	av	Yet	yet	0
if	if	cs	if	if	0
you	you	pn22	you	you	0
will	will	vmb	will	will	0
still	still	av	still	still	0
remaine	remaine	vvi	remain	remain	0
unconstant	unconstant	j	unconstant	unconstant	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
shall	shall	vmb	shall	shall	0
make	make	vvi	make	make	0
you	you	pn22	you	you	0
firme	firme	j	firm	firm	0
?	?	?	?	?	1
If	If	cs	If	if	0
you	you	pn22	you	you	0
love	love	vvb	love	love	0
to	to	pc-acp	to	to	0
stagger	stagger	vvi	stagger	stagger	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
aquaint	aquaint	vvb	acquaint	acquaint	0
us	us	pno12	us	we	0
why	why	c-crq	why	why	0
you	you	pn22	you	you	0
wi	wi	zz	wi	wi	0
•	•	•	•	•	0
thus	thus	av	thus	thus	0
be	be	vbi	be	be	0
unconstant	unconstant	j	unconstant	unconstant	0
?	?	?	?	?	1
Surely	Surely	np1	Surely	Surely	0
you	you	pn22	you	you	0
waver	waver	vvb	waver	waver	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
you	you	pn22	you	you	0
speake	speake	vvb	speak	speak	0
not	not	xx	not	not	0
plainly	plainly	av-j	plainly	plain	0
to	to	p-acp	to	to	0
us	us	pno12	us	we	0
,	,	,	,	,	0
your	your	po22	your	your	0
words	words	n2	words	word	0
are	are	vbr	are	be	0
one	one	pi	one	one	0
thing	thing	n1	thing	thing	0
and	and	cc	and	and	0
your	your	po22	your	your	0
aime	aime	vvb	aim	aim	0
another	another	j-jn	another	another	0
.	.	.	.	.	1
Methinkes	Methinkes	vvz	Methinks	methinks	0
I	I	pns11	I	i	0
see	see	vvb	see	see	0
your	your	po22	your	your	0
silence	silence	n1	silence	silence	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
blush	blush	n1	blush	blush	0
to	to	pc-acp	to	to	0
answer	answer	vvi	answer	answer	0
this	this	d	this	this	0
conjecture	conjecture	n1	conjecture	conjecture	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
if	if	cs	if	if	0
thereby	thereby	av	thereby	thereby	0
you	you	pn22	you	you	0
granted	granted	vvd	granted	grant	0
,	,	,	,	,	0
this	this	d	this	this	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
the	the	dt	the	the	0
cause	cause	n1	cause	cause	0
?	?	?	?	?	1
Are	Are	vbr	Are	be	0
you	you	pn22	you	you	0
offended	offended	vvn	offended	offend	0
?	?	?	?	?	1
I	I	pns11	I	i	0
am	am	vbm	am	be	0
grieved	grieved	vvn	grieved	grieve	0
,	,	,	,	,	0
and	and	cc	and	and	0
have	have	vhb	have	have	0
I	I	pns11	I	i	0
not	not	xx	not	not	0
cause	cause	n1	cause	cause	0
,	,	,	,	,	0
since	since	c-acp	since	since	0
civill	civill	j	civil	civil	0
jarres	jarres	n2	jars	jar	0
have	have	vhb	have	have	0
beene	beene	vbn	been	be	0
by	by	p-acp	by	by	0
you	you	pn22	you	you	0
so	so	av	so	so	0
lamentable	lamentable	j	lamentable	lamentable	0
:	:	:	:	:	0
will	will	vmb	will	will	0
nothing	nothing	pix	nothing	nothing	0
please	please	vvi	please	please	0
you	you	pn22	you	you	0
but	but	p-acp	but	but	0
the	the	dt	the	the	0
glory	glory	n1	glory	glory	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
owne	owne	d	own	own	0
partaking	partaking	n-vvg	partaking	partake	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
quietnesse	quietnesse	n1	quietness	quietness	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
owne	owne	d	own	own	0
ful-bellied	ful-bellied	j	full-bellied	full-bellied	0
peace	peace	n1	peace	peace	0
?	?	?	?	?	1
Thinke	Thinke	vvb	Think	think	0
you	you	pn22	you	you	0
to	to	pc-acp	to	to	0
finde	finde	vvi	find	find	0
more	more	dc	more	more	0
glory	glory	n1	glory	glory	0
in	in	p-acp	in	in	0
them	them	pno32	them	they	0
then	then	av	then	then	0
in	in	p-acp	in	in	0
our	our	po12	our	our	0
Churches	Churches	n2	Churches	church	0
,	,	,	,	,	0
wee	wee	pns12	we	we	0
have	have	vhb	have	have	0
one	one	crd	one	one	0
Christ	Christ	np1	Christ	Christ	0
;	;	;	;	;	0
labour	labour	vvb	labour	labour	0
not	not	xx	not	not	0
then	then	av	then	then	0
for	for	p-acp	for	for	0
those	those	d	those	those	0
who	who	r-crq	who	who	0
divide	divide	vvb	divide	divide	0
his	his	po31	his	his	0
Garments	Garments	n2	Garments	garment	0
:	:	:	:	:	0
nay	nay	uh-x	nay	nay	0
,	,	,	,	,	0
his	his	po31	his	his	0
very	very	j	very	very	0
body	body	n1	body	body	0
and	and	cc	and	and	0
blood	blood	n1	blood	blood	0
.	.	.	.	.	1
If	If	cs	If	if	0
you	you	pn22	you	you	0
will	will	vmb	will	will	0
bee	bee	vbi	be	be	0
to	to	p-acp	to	to	0
vs	vs	pno12	us	we	0
like	like	av-j	like	like	0
Barnabas	Barnabas	np1	Barnabas	Barnabas	0
to	to	p-acp	to	to	0
Paul	Paul	np1	Paul	Paul	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
bee	bee	vbb	be	be	0
not	not	xx	not	not	0
to	to	p-acp	to	to	0
vs	vs	pno12	us	we	0
like	like	av-j	like	like	0
Simon	Simon	np1	Simon	Simon	0
Magus	Magus	np1	Magus	Magus	0
to	to	p-acp	to	to	0
Peter	Peter	np1	Peter	Peter	0
.	.	.	.	.	1
Other	Other	av-jn	Other	other	0
Churches	Churches	n2	Churches	church	0
have	have	vhb	have	have	0
complained	complained	vvn	complained	complain	0
of	of	pp-f	of	of	0
these	these	d	these	these	0
distractions	distractions	n2	distractions	distraction	0
as	as	c-acp	as	as	0
well	well	av	well	well	0
as	as	c-acp	as	as	0
we	we	pns12	we	we	0
;	;	;	;	;	0
yet	yet	av	yet	yet	0
our	our	po12	our	our	0
greatest	greatest	js	greatest	great	0
greevance	greevance	n1	grievance	grievance	0
is	is	vbz	is	be	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
vnsetlednesse	vnsetlednesse	n1	unsettledness	unsettledness	0
.	.	.	.	.	1
Thinke	Thinke	vvb	Think	think	0
you	you	pn22	you	you	0
the	the	dt	the	the	0
glory	glory	n1	glory	glory	0
of	of	pp-f	of	of	0
Rome	Rome	n1	Room	room	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
so	so	av	so	so	0
famous	famous	j	famous	famous	0
for	for	c-acp	for	for	0
you	you	pn22	you	you	0
,	,	,	,	,	0
amongst	amongst	p-acp	among	among	0
whom	whom	ro-crq	whom	who	0
are	are	vbr	are	be	0
severall	severall	j	several	several	0
hundreds	hundreds	crd	hundreds	hundred	0
of	of	pp-f	of	of	0
Contrarieties	Contrarieties	n2	Contrarieties	contrariety	0
amongst	amongst	p-acp	among	among	0
her	her	po31	her	her	0
selfe	selfe	n1	self	self	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
will	will	vmb	will	will	0
distract	distract	vvi	distract	distract	0
you	you	pn22	you	you	0
more	more	av-dc	more	more	0
then	then	cs	then	than	0
you	you	pn22	you	you	0
expect	expect	vvb	expect	expect	0
,	,	,	,	,	0
though	though	cs	though	though	0
their	their	po32	their	their	0
Dissentions	Dissentions	n2	Dissensions	dissension	0
are	are	vbr	are	be	0
smothered	smothered	vvn	smothered	smother	0
by	by	p-acp	by	by	0
their	their	po32	their	their	0
subtleties	subtleties	n2	subtleties	subtlety	0
;	;	;	;	;	0
have	have	vhb	have	have	0
not	not	xx	not	not	0
you	you	pn22	you	you	0
learned	learned	vvn	learned	learn	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
to	to	pc-acp	to	to	0
fight	fight	vvi	fight	fight	0
closly	closly	av-j	closely	close	0
within	within	p-acp	within	within	0
doores	doores	n2	doors	door	0
,	,	,	,	,	0
without	without	p-acp	without	without	0
noise	noise	n1	noise	noise	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
endangered	endangered	vvd	endangered	endanger	0
,	,	,	,	,	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
almost	almost	av	almost	almost	0
said	said	vvn	said	say	0
begun	begun	vvn	begun	begin	0
frayes	frayes	n2	frays	fray	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
field	field	n1	field	field	0
?	?	?	?	?	1
Surely	Surely	np1	Surely	Surely	0
the	the	dt	the	the	0
more	more	av-dc	more	more	0
you	you	pn22	you	you	0
labour	labour	vvb	labour	labour	0
for	for	p-acp	for	for	0
their	their	po32	their	their	0
policie	policie	n1	policy	policy	0
,	,	,	,	,	0
the	the	dt	the	the	0
more	more	av-dc	more	more	0
you	you	pn22	you	you	0
runne	runne	vvb	run	run	0
with	with	p-acp	with	with	0
them	them	pno32	them	they	0
into	into	p-acp	into	into	0
want	want	n1	want	want	0
of	of	pp-f	of	of	0
Peace	Peace	n1	Peace	peace	0
,	,	,	,	,	0
and	and	cc	and	and	0
if	if	cs	if	if	0
you	you	pn22	you	you	0
bee	bee	vbb	be	be	0
not	not	xx	not	not	0
either	either	d	either	either	0
partiall	partiall	j	partial	partial	0
,	,	,	,	,	0
or	or	cc	or	or	0
incredulous	incredulous	j	incredulous	incredulous	0
,	,	,	,	,	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
easily	easily	av-j	easily	easy	0
perceive	perceive	vvi	perceive	perceive	0
the	the	dt	the	the	0
mischiefe	mischiefe	n1	mischief	mischief	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
secret	secret	j-jn	secret	secret	0
Differences	Differences	n2	Differences	difference	0
.	.	.	.	.	1
Will	Will	n1	Will	will	0
you	you	pn22	you	you	0
Rule	Rule	vvi	Rule	rule	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
alone	alone	j	alone	alone	0
?	?	?	?	?	0
alas	alas	uh	alas	alas	0
!	!	!	!	!	0
how	how	q-crq	how	how	0
full	full	j	full	full	0
is	is	vbz	is	be	0
such	such	d	such	such	0
rule	rule	n1	rule	rule	0
of	of	pp-f	of	of	0
contradiction	contradiction	n1	contradiction	contradiction	0
and	and	cc	and	and	0
purposes	purposes	n2	purposes	purpose	0
repugnant	repugnant	j	repugnant	repugnant	0
to	to	p-acp	to	to	0
Christ	Christ	np1	Christ	Christ	0
her	her	po31	her	her	0
head	head	n1	head	head	0
!	!	!	!	!	1
If	If	cs	If	if	0
you	you	pn22	you	you	0
alone	alone	av-j	alone	alone	0
lay	lay	vvd	lay	lie	0
claime	claime	n1	claim	claim	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
as	as	c-acp	as	as	0
yours	yours	png22	yours	you	0
;	;	;	;	;	0
why	why	q-crq	why	why	0
doe	doe	vdb	do	do	0
you	you	pn22	you	you	0
chide	chide	vvi	chide	chide	0
with	with	p-acp	with	with	0
her	her	po31	her	her	0
best	best	js	best	best	0
members	members	n2	members	member	0
,	,	,	,	,	0
&	&	cc	&	and	0
disturbe	disturbe	vvi	disturb	disturb	0
them	them	pno32	them	they	0
;	;	;	;	;	0
why	why	q-crq	why	why	0
doe	doe	vdb	do	do	0
you	you	pn22	you	you	0
fight	fight	vvi	fight	fight	0
with	with	p-acp	with	with	0
your	your	po22	your	your	0
selfe	selfe	n1	self	self	0
;	;	;	;	;	0
will	will	vmb	will	will	0
you	you	pn22	you	you	0
looke	looke	vvi	look	look	0
for	for	p-acp	for	for	0
Peace	Peace	n1	Peace	peace	0
,	,	,	,	,	0
and	and	cc	and	and	0
not	not	xx	not	not	0
from	from	p-acp	from	from	0
GOD	GOD	np1	GOD	God	0
;	;	;	;	;	0
indeed	indeed	av	indeed	indeed	0
much	much	d	much	much	0
pompe	pompe	n1	pomp	pomp	0
,	,	,	,	,	0
and	and	cc	and	and	0
glory	glory	n1	glory	glory	0
Romes	Romes	npg1	Romes	Rome	0
Churches	Churches	n2	Churches	church	0
sonnes	sonnes	n2	sons	son	0
receive	receive	vvb	receive	receive	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
better	better	jc	better	better	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
content	content	j	content	content	0
with	with	p-acp	with	with	0
what	what	r-crq	what	what	0
estate	estate	n1	estate	estate	0
Christ	Christ	np1	Christ	Christ	0
bequeaths	bequeaths	vvz	bequeathes	bequeathe	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
Church	Church	n1	Church	church	0
.	.	.	.	.	1
Will	Will	n1	Will	will	0
you	you	pn22	you	you	0
rather	rather	av-c	rather	rather	0
let	let	vvb	let	let	0
your	your	po22	your	your	0
Soule	Soule	n1	Soul	soul	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Soules	Soules	n2	Souls	soul	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
your	your	po22	your	your	0
Flockes	Flockes	n2	Flocks	flock	0
want	want	vvb	want	want	0
their	their	po32	their	their	0
food	food	n1	food	food	0
,	,	,	,	,	0
then	then	cs	then	than	0
you	you	pn22	you	you	0
be	be	vbb	be	be	0
taken	taken	vvn	taken	take	0
from	from	p-acp	from	from	0
your	your	po22	your	your	0
Palaces	Palaces	n2	Palaces	palace	0
?	?	?	?	?	1
Is	Is	vbz	Is	be	0
nothing	nothing	pix	nothing	nothing	0
worth	worth	j	worth	worth	0
your	your	po22	your	your	0
respect	respect	n1	respect	respect	0
but	but	p-acp	but	but	0
earthly	earthly	j	earthly	earthly	0
peace	peace	n1	peace	peace	0
?	?	?	?	?	1
But	But	p-acp	But	but	0
if	if	cs	if	if	0
you	you	pn22	you	you	0
love	love	vvb	love	love	0
your	your	po22	your	your	0
peace	peace	n1	peace	peace	0
and	and	cc	and	and	0
glory	glory	n1	glory	glory	0
so	so	av	so	so	0
dearely	dearely	av-jn	dearly	dear	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
will	will	vmb	will	will	0
not	not	xx	not	not	0
leaue	leaue	vvi	leave	leave	0
it	it	pn31	it	it	0
;	;	;	;	;	0
take	take	vvb	take	take	0
your	your	po22	your	your	0
peace	peace	n1	peace	peace	0
and	and	cc	and	and	0
pompe	pompe	n1	pomp	pomp	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
selves	selves	n2	selves	self	0
;	;	;	;	;	0
let	let	vvb	let	let	0
us	us	pno12	us	we	0
have	have	vhi	have	have	0
truth	truth	n1	truth	truth	0
:	:	:	:	:	0
yet	yet	av	yet	yet	0
if	if	cs	if	if	0
it	it	pn31	it	it	0
may	may	vmb	may	may	0
bee	bee	vbi	be	be	0
