MOſt	MOſt	ds	MOſt	moſt	0
his	his	po31	his	his	0
boaſting	boaſting	n-vvg	boaſting	boaſt	0
,	,	,	,	,	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
hath	hath	vhz	hath	have	0
tooke	tooke	vvd	took	take	0
his	his	po31	his	his	0
levell	levell	n-jn	level	level	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
falſe	falſe	j	falſe	falſe	0
deceitfull	deceitfull	j	deceitful	deceitful	0
eye	eye	n1	eye	eye	0
.	.	.	.	.	1
Hee	Hee	pns31	He	he	0
firſt	firſt	ord	firſt	firſt	0
flatters	flatters	vvz	flatters	flatter	0
you	you	pn22	you	you	0
and	and	cc	and	and	0
tels	tels	vvz	tells	tell	0
you	you	pn22	you	you	0
,	,	,	,	,	0
that	that	cst	that	that	0
your	your	po22	your	your	0
Honour	Honour	n1	Honour	honour	0
advanceth	advanceth	vvz	advanceth	advance	0
truth	truth	n1	truth	truth	0
,	,	,	,	,	0
and	and	cc	and	and	0
nothing	nothing	pix	nothing	nothing	0
more	more	av-dc	more	more	0
,	,	,	,	,	0
and	and	cc	and	and	0
preſently	preſently	av-j	preſently	preſent	0
after	after	p-acp	after	after	0
complaines	complaines	n2	complains	complain	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
•	•	•	•	•	0
loſe	loſe	j	loose	loose	0
followers	followers	n2	followers	follower	0
of	of	pp-f	of	of	0
truth	truth	n1	truth	truth	0
and	and	cc	and	and	0
peace	peace	n1	peace	peace	0
are	are	vbr	are	be	0
purſued	purſued	vvn	purſued	purſue	0
,	,	,	,	,	0
(	(	(	(	(	0
hee	hee	pns31	he	he	0
meanes	meanes	vvz	means	mean	0
himſelfe	himſelfe	px31	himself	himself	0
,	,	,	,	,	0
and	and	cc	and	and	0
his	his	po31	his	his	0
faction	faction	n1	faction	faction	0
)	)	)	)	)	0
and	and	cc	and	and	0
ſo	ſo	av	ſo	ſo	0
the	the	dt	the	the	0
two	two	crd	two	two	0
ſacred	ſacred	j	ſacred	ſacred	0
Siſters	Siſters	n2	Siſters	siſter	0
are	are	vbr	are	be	0
forced	forced	vvn	forced	force	0
by	by	p-acp	by	by	0
humoriſts	humoriſts	n2	humoriſts	humoriſt	0
.	.	.	.	.	1
Upon	Upon	p-acp	Upon	upon	0
whom	whom	ro-crq	whom	who	0
this	this	d	this	this	0
will	will	vmb	will	will	0
reflect	reflect	vvi	reflect	reflect	0
,	,	,	,	,	0
I	I	pns11	I	i	0
leave	leave	vvb	leave	leave	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
wiſedomes	wiſedomes	n2	wisdoms	wisdom	0
to	to	pc-acp	to	to	0
conſider	conſider	vvi	conſider	conſider	0
.	.	.	.	.	1
Hee	Hee	pns31	He	he	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
ignorant	ignorant	j	ignorant	ignorant	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
have	have	vhb	have	have	0
broken	broken	vvn	broken	break	0
the	the	dt	the	the	0
necke	necke	n1	neck	neck	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
ſuperſtition	ſuperſtition	n1	ſuperſtition	ſuperſtition	0
,	,	,	,	,	0
and	and	cc	and	and	0
favour	favour	vvb	favour	favour	0
not	not	xx	not	not	0
the	the	dt	the	the	0
followers	followers	n2	followers	follower	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
.	.	.	.	.	1
Againſt	Againſt	p-acp	Againſt	againſt	0
me	me	pno11	me	i	0
he	he	pns31	he	he	0
complaines	complaines	vvz	complains	complain	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Kings	Kings	ng1	Kings	king	0
Majeſtie	Majeſtie	n1	Majesty	majesty	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
crucified	crucified	vvn	crucified	crucify	0
Chriſt	Chriſt	np1	Chriſt	Chriſt	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
name	name	n1	name	name	0
,	,	,	,	,	0
and	and	cc	and	and	0
have	have	vhb	have	have	0
ſhamefully	ſhamefully	av-j	ſhamefully	ſhameful	0
handled	handled	vvn	handled	handle	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
:	:	:	:	:	0
heavy	heavy	j	heavy	heavy	0
charges	charges	n2	charges	charge	0
if	if	cs	if	if	0
I	I	pns11	I	i	0
cannot	cannot	vmbx	cannot	can	0
avoid	avoid	vvi	avoid	avoid	0
them	them	pno32	them	they	0
;	;	;	;	;	0
For	For	c-acp	For	for	0
the	the	dt	the	the	0
firſt	firſt	ord	firſt	firſt	0
,	,	,	,	,	0
I	I	pns11	I	i	0
appeale	appeale	vvb	appeal	appeal	0
to	to	p-acp	to	to	0
what	what	r-crq	what	what	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
written	written	vvn	written	write	0
;	;	;	;	;	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
ſecond	ſecond	ord	ſecond	ſecond	0
,	,	,	,	,	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
not	not	xx	not	not	0
guilty	guilty	j	guilty	guilty	0
,	,	,	,	,	0
unleſſe	unleſſe	cs	unless	unless	0
affirming	affirming	vvg	affirming	affirm	0
it	it	pn31	it	it	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
unlawfull	unlawfull	j	unlawful	unlawful	0
to	to	pc-acp	to	to	0
give	give	vvi	give	give	0
a	a	dt	a	a	0
Church	Church	n1	Church	church	0
authority	authority	n1	authority	authority	0
over	over	p-acp	over	over	0
Gods	Gods	npg1	Gods	God	0
word	word	n1	word	word	0
,	,	,	,	,	0
doe	doe	vdb	do	do	0
make	make	vvi	make	make	0
me	me	pno11	me	i	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
ſo	ſo	av	ſo	ſo	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
this	this	d	this	this	0
opinion	opinion	n1	opinion	opinion	0
I	I	pns11	I	i	0
know	know	vvb	know	know	0
it	it	pn31	it	it	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
maine	maine	j	main	main	0
props	props	n2	props	prop	0
,	,	,	,	,	0
and	and	cc	and	and	0
pillars	pillars	n2	pillars	pillar	0
of	of	pp-f	of	of	0
Antichriſt	Antichriſt	np1	Antichriſt	Antichriſt	0
,	,	,	,	,	0
and	and	cc	and	and	0
it	it	pn31	it	it	0
lives	lives	vvz	lives	live	0
and	and	cc	and	and	0
dies	dies	vvz	die	die	0
with	with	p-acp	with	with	0
him	him	pno31	him	he	0
,	,	,	,	,	0
and	and	cc	and	and	0
bleſſed	bleſſed	vvn	bleſſed	bleſ	0
bee	bee	vbb	be	be	0
God	God	np1	God	God	0
both	both	d	both	both	0
are	are	vbr	are	be	0
haſtning	haſtning	vvg	hastening	hasten	0
to	to	p-acp	to	to	0
their	their	po32	their	their	0
end	end	n1	end	end	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
if	if	cs	if	if	0
I	I	pns11	I	i	0
ſhould	ſhould	vmd	ſhould	ſhould	0
hold	hold	vvi	hold	hold	0
my	my	po11	my	my	0
peace	peace	n1	peace	peace	0
at	at	p-acp	at	at	0
this	this	d	this	this	0
time	time	n1	time	time	0
I	I	pns11	I	i	0
ſhould	ſhould	vmd	ſhould	ſhould	0
betray	betray	vvi	betray	betray	0
truth	truth	n1	truth	truth	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
abhorre	abhorre	vvb	abhor	abhor	0
to	to	pc-acp	to	to	0
do	do	vdi	do	do	0
.	.	.	.	.	1
There	There	pc-acp	There	there	0
be	be	vbi	be	be	0
many	many	d	many	many	0
Malignant	Malignant	j	Malignant	malignant	0
Spirits	Spirits	n2	Spirits	spirit	0
fit	fit	vvn	fit	fit	0
for	for	p-acp	for	for	0
a	a	dt	a	a	0
Malignant	Malignant	j	Malignant	malignant	0
opinion	opinion	n1	opinion	opinion	0
that	that	cst	that	that	0
doe	doe	vdb	do	do	0
yet	yet	av	yet	yet	0
plead	plead	vvi	plead	plead	0
for	for	p-acp	for	for	0
it	it	pn31	it	it	0
.	.	.	.	.	1
And	And	cc	And	and	0
ſome	ſome	d	ſome	ſome	0
I	I	pns11	I	i	0
know	know	vvb	know	know	0
doe	doe	n1	doe	doe	0
greatly	greatly	av-j	greatly	great	0
cry	cry	vvi	cry	cry	0
up	up	a-acp	up	up	0
this	this	d	this	this	0
Mans	Mans	ng1	men	man	0
booke	booke	n1	book	book	0
;	;	;	;	;	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
laboured	laboured	vvn	laboured	labour	0
to	to	pc-acp	to	to	0
ſtrippe	ſtrippe	vvi	strip	strip	0
this	this	d	this	this	0
ſuperſtition	ſuperſtition	n1	ſuperſtition	ſuperſtition	0
ſtarke	ſtarke	av-j	stark	stark	0
naked	naked	j	naked	naked	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
ugly	ugly	j	ugly	ugly	0
deformitie	deformitie	n1	deformity	deformity	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
may	may	vmb	may	may	0
appeare	appeare	vvi	appear	appear	0
,	,	,	,	,	0
and	and	cc	and	and	0
what	what	r-crq	what	what	0
I	I	pns11	I	i	0
have	have	vhb	have	have	0
done	done	vdn	done	do	0
herein	herein	av	herein	herein	0
I	I	pns11	I	i	0
humbly	humbly	av-j	humbly	humble	0
ſubmit	ſubmit	vvb	ſubmit	ſubmit	0
my	my	po11	my	my	0
ſelfe	ſelfe	n1	self	self	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
Honours	Honours	ng1	Honours	honour	0
grave	grave	j	grave	grave	0
cenſure	cenſure	n1	cenſure	cenſure	0
,	,	,	,	,	0
and	and	cc	and	and	0
humbly	humbly	av-j	humbly	humble	0
crave	crave	vvi	crave	crave	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
pardon	pardon	vvb	pardon	pardon	0
for	for	p-acp	for	for	0
my	my	po11	my	my	0
boldneſſe	boldneſſe	n1	boldness	boldness	0
.	.	.	.	.	1
The	The	dt	The	the	0
Lord	Lord	n1	Lord	lord	0
watch	watch	vvb	watch	watch	0
over	over	p-acp	over	over	0
you	you	pn22	you	you	0
for	for	p-acp	for	for	0
good	good	j	good	good	0
,	,	,	,	,	0
be	be	vbb	be	be	0
a	a	dt	a	a	0
wall	wall	n1	wall	wall	0
of	of	pp-f	of	of	0
fire	fire	n1	fire	fire	0
round	round	av-j	round	round	0
about	about	p-acp	about	about	0
you	you	pn22	you	you	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
glory	glory	n1	glory	glory	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
midſt	midſt	p-acp	amid	amid	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
,	,	,	,	,	0
keepe	keepe	vvb	keep	keep	0
you	you	pn22	you	you	0
ſafe	ſafe	j	ſafe	ſafe	0
under	under	p-acp	under	under	0
his	his	po31	his	his	0
wings	wings	n2	wings	wing	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
deſperate	deſperate	j	deſperate	deſperate	0
plots	plots	n2	plots	plot	0
of	of	pp-f	of	of	0
wicked	wicked	j	wicked	wicked	0
and	and	cc	and	and	0
unreaſonable	unreaſonable	j	unreaſonable	unreaſonable	0
men	men	n2	men	man	0
,	,	,	,	,	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
,	,	,	,	,	0
his	his	po31	his	his	0
Name	Name	n1	Name	name	0
be	be	vbi	be	be	0
eternally	eternally	av-j	eternally	eternal	0
praiſed	praiſed	vvn	praiſed	praiſ	0
,	,	,	,	,	0
hitherto	hitherto	av	hitherto	hitherto	0
he	he	pns31	he	he	0
hath	hath	vhz	hath	have	0
done	done	vdn	done	do	0
)	)	)	)	)	0
till	till	c-acp	till	till	0
Babylon	Babylon	np1	Babylon	Babylon	0
be	be	vbb	be	be	0
laid	laid	vvn	laid	lay	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
duſt	duſt	crd	duſt	duſt	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
King	King	n1	King	king	0
of	of	pp-f	of	of	0
glory	glory	n1	glory	glory	0
appeare	appeare	vvi	appear	appear	0
on	on	p-acp	on	on	0
Mount	Mount	n1	Mount	mount	0
Sion	Sion	np1	Sion	Zion	0
in	in	p-acp	in	in	0
perfect	perfect	j	perfect	perfect	0
beautie	beautie	n1	beauty	beauty	0
;	;	;	;	;	0
Thus	Thus	av	Thus	thus	0
prayeth	prayeth	vvz	prayeth	pray	1
